date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-18,824803,BAL,NYY,Baltimore Orioles,New York Yankees,2026-08-18T22:35:00+00:00,2026-08-18T22:35:00.000273+00:00,9,-102,-108,0.4930284439486894
2026-08-18,823341,PIT,DET,Pittsburgh Pirates,Detroit Tigers,2026-08-18T22:40:00+00:00,2026-08-18T22:35:00.000273+00:00,9,-152,136,0.5873722818967776
2026-08-18,824398,CLE,SF,Cleveland Guardians,San Francisco Giants,2026-08-18T22:40:00+00:00,2026-08-18T22:35:00.000273+00:00,9,-193,174,0.6434742401012388
2026-08-18,824475,CIN,STL,Cincinnati Reds,St. Louis Cardinals,2026-08-18T22:40:00+00:00,2026-08-18T22:35:00.000273+00:00,9,104,-115,0.478202846975089
2026-08-18,822938,TB,TOR,Tampa Bay Rays,Toronto Blue Jays,2026-08-18T22:40:00+00:00,2026-08-18T22:35:00.000273+00:00,9,-129,120,0.5534321372854915
2026-08-18,823423,PHI,MIA,Philadelphia Phillies,Miami Marlins,2026-08-18T22:40:00+00:00,2026-08-18T22:35:00.000273+00:00,9,-211,189,0.6622465491588744
2026-08-18,824723,BOS,ARI,Boston Red Sox,Arizona Diamondbacks,2026-08-18T23:10:00+00:00,2026-08-18T23:05:00.000453+00:00,9,-177,145,0.610215999437135
2026-08-18,823586,NYM,SD,New York Mets,San Diego Padres,2026-08-18T23:10:00+00:00,2026-08-18T23:05:00.000453+00:00,9,106,-117,0.4737784376228112
2026-08-18,824075,KC,OAK,Kansas City Royals,Athletics,2026-08-18T23:40:00+00:00,2026-08-18T23:35:00.000474+00:00,9,-156,144,0.5978889168132696
2026-08-18,823667,MIN,ATL,Minnesota Twins,Atlanta Braves,2026-08-18T23:40:00+00:00,2026-08-18T23:35:00.000474+00:00,9,128,-148,0.4236130090188576
2026-08-18,823749,MIL,SEA,Milwaukee Brewers,Seattle Mariners,2026-08-18T23:40:00+00:00,2026-08-18T23:35:00.000474+00:00,9,-168,149,0.6095115980883552
2026-08-18,822859,TEX,WSH,Texas Rangers,Washington Nationals,2026-08-19T00:05:00+00:00,2026-08-19T00:05:00.000489+00:00,9,-145,122,0.5678250132298465
2026-08-18,824639,CHC,CWS,Chicago Cubs,Chicago White Sox,2026-08-19T00:05:00+00:00,2026-08-19T00:05:00.000489+00:00,9,-169,153,0.6138220135808318
2026-08-18,824154,HOU,LAA,Houston Astros,Los Angeles Angels,2026-08-19T00:10:00+00:00,2026-08-19T00:05:00.000489+00:00,9,-165,149,0.6079011615003329
2026-08-18,824319,COL,LAD,Colorado Rockies,Los Angeles Dodgers,2026-08-19T00:40:00+00:00,2026-08-19T00:35:00.000588+00:00,9,172,-204,0.35394932935916545
