date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-05,824806,BAL,LAA,Baltimore Orioles,Los Angeles Angels,2026-08-05T22:35:00+00:00,2026-08-05T22:35:00.000305+00:00,9,-134,126,0.5641159377095596
2026-08-05,824402,CLE,NYM,Cleveland Guardians,New York Mets,2026-08-05T22:40:00+00:00,2026-08-05T22:35:00.000305+00:00,9,-115,-105,0.5108342361863488
2026-08-05,824482,CIN,OAK,Cincinnati Reds,Athletics,2026-08-05T22:40:00+00:00,2026-08-05T22:35:00.000305+00:00,9,-175,144,0.6082621082621081
2026-08-05,823429,PHI,WSH,Philadelphia Phillies,Washington Nationals,2026-08-05T22:40:00+00:00,2026-08-05T22:35:00.000305+00:00,9,-210,170,0.6465222348916762
2026-08-05,823516,NYY,STL,New York Yankees,St. Louis Cardinals,2026-08-05T23:05:00+00:00,2026-08-05T23:05:00.000354+00:00,9,-154,131,0.5834290025256667
2026-08-05,824728,BOS,CWS,Boston Red Sox,Chicago White Sox,2026-08-05T23:10:00+00:00,2026-08-05T23:10:00.000211+00:00,9,-155,125,0.5776397515527951
2026-08-05,824889,ATL,MIA,Atlanta Braves,Miami Marlins,2026-08-05T23:15:00+00:00,2026-08-05T23:10:00.000211+00:00,9,-135,110,0.5467695274831245
2026-08-05,824082,KC,MIN,Kansas City Royals,Minnesota Twins,2026-08-05T23:40:00+00:00,2026-08-05T23:35:00.000509+00:00,9,-116,106,0.525232987515386
2026-08-05,823753,MIL,PIT,Milwaukee Brewers,Pittsburgh Pirates,2026-08-05T23:40:00+00:00,2026-08-05T23:35:00.000509+00:00,9,-135,113,0.5502822696392691
2026-08-05,825052,ARI,SD,Arizona Diamondbacks,San Diego Padres,2026-08-06T01:40:00+00:00,2026-08-06T01:35:00.000210+00:00,9,119,-139,0.4398152407942437
2026-08-05,823106,SEA,DET,Seattle Mariners,Detroit Tigers,2026-08-06T01:40:00+00:00,2026-08-06T01:35:00.000210+00:00,9,-148,134,0.582716381747207
