date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-27,822868,TEX,SEA,Texas Rangers,Seattle Mariners,2026-07-27T18:35:00+00:00,2026-07-27T18:29:59.692537+00:00,9,110,-125,0.46153846153846156
2026-07-27,824245,DET,BAL,Detroit Tigers,Baltimore Orioles,2026-07-27T22:40:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-119,-101,0.5195490681610843
2026-07-27,823353,PIT,ARI,Pittsburgh Pirates,Arizona Diamondbacks,2026-07-27T22:40:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-118,-102,0.5173641257162701
2026-07-27,823839,MIA,PHI,Miami Marlins,Philadelphia Phillies,2026-07-27T22:40:00+00:00,2026-07-27T18:29:59.692537+00:00,9,164,-182,0.369845766446333
2026-07-27,822705,WSH,TOR,Washington Nationals,Toronto Blue Jays,2026-07-27T22:45:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-125,104,0.53125
2026-07-27,824490,CIN,CLE,Cincinnati Reds,Cleveland Guardians,2026-07-27T23:10:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-158,141,0.5961050752997902
2026-07-27,823597,NYM,ATL,New York Mets,Atlanta Braves,2026-07-27T23:10:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-110,-109,0.5010897994768962
2026-07-27,824570,CWS,NYY,Chicago White Sox,New York Yankees,2026-07-27T23:40:00+00:00,2026-07-27T18:29:59.692537+00:00,9,123,-149,0.42837235708018645
2026-07-27,823025,STL,CHC,St. Louis Cardinals,Chicago Cubs,2026-07-27T23:45:00+00:00,2026-07-27T18:29:59.692537+00:00,9,104,-122,0.47145769622833844
2026-07-27,824001,LAA,HOU,Los Angeles Angels,Houston Astros,2026-07-28T01:38:00+00:00,2026-07-27T18:29:59.692537+00:00,9,-103,-107,0.4953533757725013
2026-07-27,824977,OAK,BOS,Athletics,Boston Red Sox,2026-07-28T01:40:00+00:00,2026-07-27T18:29:59.692537+00:00,9,150,-177,0.38498957609451007
2026-07-27,823195,SF,MIL,San Francisco Giants,Milwaukee Brewers,2026-07-28T01:45:00+00:00,2026-07-27T18:29:59.692537+00:00,9,119,-131,0.44604066500608236
