date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-08,824726,BOS,OAK,Boston Red Sox,Athletics,2026-08-08T20:10:00+00:00,2026-08-08T20:05:00.000726+00:00,9,-270,240,0.7127329192546584
2026-08-08,823834,MIA,LAA,Miami Marlins,Los Angeles Angels,2026-08-08T20:10:00+00:00,2026-08-08T20:05:00.000726+00:00,9,-147,137,0.5851458707737786
2026-08-08,823426,PHI,TOR,Philadelphia Phillies,Toronto Blue Jays,2026-08-08T22:05:00+00:00,2026-08-08T22:00:00.000531+00:00,9,-179,147,0.6131072067449697
2026-08-08,823348,PIT,NYM,Pittsburgh Pirates,New York Mets,2026-08-08T22:40:00+00:00,2026-08-08T22:40:00.000547+00:00,9,-120,100,0.5217391304347826
2026-08-08,822701,WSH,CIN,Washington Nationals,Cincinnati Reds,2026-08-08T22:45:00+00:00,2026-08-08T22:40:00.000547+00:00,9,117,-138,0.4428236519927064
2026-08-08,824079,KC,CHC,Kansas City Royals,Chicago Cubs,2026-08-08T23:10:00+00:00,2026-08-08T23:10:00.000160+00:00,9,133,-159,0.4114572576929797
2026-08-08,823752,MIL,MIN,Milwaukee Brewers,Minnesota Twins,2026-08-08T23:10:00+00:00,2026-08-08T23:10:00.000160+00:00,9,-138,125,0.5660893345487694
2026-08-08,823267,SD,HOU,San Diego Padres,Houston Astros,2026-08-08T23:15:00+00:00,2026-08-08T23:10:00.000160+00:00,9,-118,107,0.5284039285250725
2026-08-08,823188,SF,DET,San Francisco Giants,Detroit Tigers,2026-08-08T23:15:00+00:00,2026-08-08T23:10:00.000160+00:00,9,104,-115,0.478202846975089
2026-08-08,823021,STL,COL,St. Louis Cardinals,Colorado Rockies,2026-08-08T23:15:00+00:00,2026-08-08T23:10:00.000160+00:00,9,-155,140,0.5933014354066986
2026-08-08,822864,TEX,BAL,Texas Rangers,Baltimore Orioles,2026-08-08T23:15:00+00:00,2026-08-08T23:10:00.000160+00:00,9,-143,130,0.5751005420528064
2026-08-08,824565,CWS,CLE,Chicago White Sox,Cleveland Guardians,2026-08-08T23:15:00+00:00,2026-08-08T23:10:00.000160+00:00,9,114,-125,0.4568527918781725
2026-08-08,825049,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,2026-08-09T00:10:00+00:00,2026-08-09T00:05:00.000633+00:00,9,178,-192,0.3536136407672932
2026-08-08,823102,SEA,TB,Seattle Mariners,Tampa Bay Rays,2026-08-09T01:50:00+00:00,2026-08-09T01:45:00.000602+00:00,9,-143,120,0.5642037302725968
