date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-30,824488,CIN,PIT,Cincinnati Reds,Pittsburgh Pirates,2026-07-30T23:10:00+00:00,2026-07-30T22:42:24.473909+00:00,9,100,-120,0.4782608695652174
2026-07-30,823595,NYM,MIA,New York Mets,Miami Marlins,2026-07-30T23:10:00+00:00,2026-07-30T22:42:24.473909+00:00,9,-130,108,0.5403677058353318
2026-07-30,824894,ATL,WSH,Atlanta Braves,Washington Nationals,2026-07-30T23:15:00+00:00,2026-07-30T22:42:24.473909+00:00,9,-150,136,0.5860927152317882
2026-07-30,824974,OAK,BOS,Athletics,Boston Red Sox,2026-07-31T01:40:00+00:00,2026-07-30T22:42:24.473909+00:00,9,169,-193,0.36076190945245445
2026-07-30,823271,SD,SF,San Diego Padres,San Francisco Giants,2026-07-31T01:40:00+00:00,2026-07-30T22:42:24.473909+00:00,9,-168,142,0.6027039848197344
2026-07-30,823921,LAD,SEA,Los Angeles Dodgers,Seattle Mariners,2026-07-31T02:10:00+00:00,2026-07-30T22:42:24.473909+00:00,9,-143,130,0.5751005420528064
