date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-19,824076,KC,OAK,Kansas City Royals,Athletics,2026-08-19T23:40:00+00:00,2026-08-19T23:35:00.000357+00:00,9,-187,157,0.6261024765825506
2026-08-19,823748,MIL,SEA,Milwaukee Brewers,Seattle Mariners,2026-08-19T23:40:00+00:00,2026-08-19T23:35:00.000357+00:00,9,-123,105,0.5306745238345786
2026-08-19,822860,TEX,WSH,Texas Rangers,Washington Nationals,2026-08-20T00:05:00+00:00,2026-08-20T00:05:00.000377+00:00,9,-125,105,0.5324675324675325
2026-08-19,824155,HOU,LAA,Houston Astros,Los Angeles Angels,2026-08-20T00:10:00+00:00,2026-08-20T00:05:00.000377+00:00,9,-145,131,0.5775497887748944
2026-08-19,824318,COL,LAD,Colorado Rockies,Los Angeles Dodgers,2026-08-20T00:40:00+00:00,2026-08-20T00:35:00.000313+00:00,9,174,-193,0.3565257598987613
