date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-10,822780,TOR,BOS,Toronto Blue Jays,Boston Red Sox,2026-08-10T23:07:00+00:00,2026-08-10T23:02:00.000309+00:00,9,142,-160,0.4017305315203955
2026-08-10,824887,ATL,NYM,Atlanta Braves,New York Mets,2026-08-10T23:15:00+00:00,2026-08-10T23:10:00.000191+00:00,9,-139,130,0.572221227850367
2026-08-10,823675,MIN,BAL,Minnesota Twins,Baltimore Orioles,2026-08-10T23:40:00+00:00,2026-08-10T23:40:00.000451+00:00,9,-104,-104,0.5
2026-08-10,823018,STL,PHI,St. Louis Cardinals,Philadelphia Phillies,2026-08-10T23:45:00+00:00,2026-08-10T23:40:00.000451+00:00,9,104,-115,0.478202846975089
2026-08-10,823998,LAA,TEX,Los Angeles Angels,Texas Rangers,2026-08-11T01:38:00+00:00,2026-08-11T01:35:00.000374+00:00,9,100,-108,0.4905660377358491
2026-08-10,825048,ARI,COL,Arizona Diamondbacks,Colorado Rockies,2026-08-11T01:40:00+00:00,2026-08-11T01:40:00.000495+00:00,9,-207,186,0.6585170519009588
2026-08-10,824969,OAK,TB,Athletics,Tampa Bay Rays,2026-08-11T01:40:00+00:00,2026-08-11T01:40:00.000495+00:00,9,134,-158,0.4110112789141655
2026-08-10,823265,SD,MIL,San Diego Padres,Milwaukee Brewers,2026-08-11T01:40:00+00:00,2026-08-11T01:40:00.000495+00:00,9,109,-120,0.4672897196261682
2026-08-10,823189,SF,HOU,San Francisco Giants,Houston Astros,2026-08-11T01:45:00+00:00,2026-08-11T01:40:00.000495+00:00,9,132,-142,0.4234915301693966
2026-08-10,823918,LAD,KC,Los Angeles Dodgers,Kansas City Royals,2026-08-11T02:10:00+00:00,2026-08-11T02:05:00.000626+00:00,9,-270,240,0.7127329192546584
