date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-31,824486,CIN,PIT,Cincinnati Reds,Pittsburgh Pirates,2026-07-31T22:10:00+00:00,2026-07-31T22:05:00.000359+00:00,9,111,-122,0.4630595302657377
2026-07-31,824809,BAL,PHI,Baltimore Orioles,Philadelphia Phillies,2026-07-31T23:05:00+00:00,2026-07-31T23:05:00.000264+00:00,9,-117,106,0.5262215623771888
2026-07-31,822782,TOR,STL,Toronto Blue Jays,St. Louis Cardinals,2026-07-31T23:07:00+00:00,2026-07-31T23:05:00.000264+00:00,9,-184,170,0.6362704918032788
2026-07-31,824407,CLE,ARI,Cleveland Guardians,Arizona Diamondbacks,2026-07-31T23:10:00+00:00,2026-07-31T23:10:00.000603+00:00,9,-132,120,0.555895865237366
2026-07-31,822945,TB,CWS,Tampa Bay Rays,Chicago White Sox,2026-07-31T23:10:00+00:00,2026-07-31T23:10:00.000603+00:00,9,-141,118,0.560523724424669
2026-07-31,823593,NYM,MIA,New York Mets,Miami Marlins,2026-07-31T23:10:00+00:00,2026-07-31T23:10:00.000603+00:00,9,-118,-102,0.5173641257162701
2026-07-31,824892,ATL,WSH,Atlanta Braves,Washington Nationals,2026-07-31T23:15:00+00:00,2026-07-31T23:10:00.000603+00:00,9,-119,101,0.5220323446605121
2026-07-31,824164,HOU,TEX,Houston Astros,Texas Rangers,2026-08-01T00:15:00+00:00,2026-08-01T00:10:00.000430+00:00,9,-127,115,0.5460453954604539
2026-07-31,824325,COL,KC,Colorado Rockies,Kansas City Royals,2026-08-01T00:40:00+00:00,2026-08-01T00:35:00.000458+00:00,9,-102,-106,0.4952856873467848
2026-07-31,823999,LAA,MIL,Los Angeles Angels,Milwaukee Brewers,2026-08-01T01:38:00+00:00,2026-08-01T01:35:00.000152+00:00,9,145,-180,0.3883495145631068
2026-07-31,824975,OAK,DET,Athletics,Detroit Tigers,2026-08-01T01:40:00+00:00,2026-08-01T01:40:00.000604+00:00,9,125,-138,0.4339106654512306
2026-07-31,823272,SD,SF,San Diego Padres,San Francisco Giants,2026-08-01T01:45:00+00:00,2026-08-01T01:40:00.000604+00:00,9,-146,131,0.5782326921098653
2026-07-31,823922,LAD,BOS,Los Angeles Dodgers,Boston Red Sox,2026-08-01T02:10:00+00:00,2026-08-01T02:05:00.000353+00:00,9,-136,118,0.5567908653846153
2026-07-31,823111,SEA,MIN,Seattle Mariners,Minnesota Twins,2026-08-01T02:10:00+00:00,2026-08-01T02:05:00.000353+00:00,9,-175,145,0.6092362344582594
