date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-28,824231,DET,LAD,Detroit Tigers,Los Angeles Dodgers,2026-08-28T22:40:00+00:00,2026-08-28T22:40:00.000400+00:00,9,9,bb28f14c5f48561498ab3fabd1ebf47b,betonlineag,BetOnline.ag,2026-08-28T22:39:47Z,fanduel,FanDuel,2026-08-28T22:39:45Z,draftkings,DraftKings,2026-08-28T22:38:27Z,0.0045871113399006,0.013677435278908,best_available_across_quoted_books,all_quoted_books,170,-180,0.369845766446333
2026-08-28,822691,WSH,MIA,Washington Nationals,Miami Marlins,2026-08-28T22:45:00+00:00,2026-08-28T22:40:00.000400+00:00,9,9,1d34c8ba40aec1ca9cadb1ff7ef37e42,draftkings,DraftKings,2026-08-28T22:38:27Z,betonlineag,BetOnline.ag,2026-08-28T22:39:47Z,fanduel,FanDuel,2026-08-28T22:39:45Z,0.0022709747020787,0.0056007234032871,best_available_across_quoted_books,all_quoted_books,125,-134,0.4369747899159664
2026-08-28,824396,CLE,KC,Cleveland Guardians,Kansas City Royals,2026-08-28T23:10:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,fab839164ecf4aec65df50e5ee9bbed3,draftkings,DraftKings,2026-08-28T23:09:47Z,betonlineag,BetOnline.ag,2026-08-28T23:09:22Z,betrivers,BetRivers,2026-08-28T23:09:47Z,0.006120202621188,0.0209275963565307,best_available_across_quoted_books,all_quoted_books,-129,123,0.5534321372854915
2026-08-28,823583,NYM,HOU,New York Mets,Houston Astros,2026-08-28T23:10:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,233ffa284e1672e4866733dd85fac3e5,fanduel,FanDuel,2026-08-28T23:09:47Z,fanduel,FanDuel,2026-08-28T23:09:47Z,draftkings,DraftKings,2026-08-28T23:09:47Z,0.0027721672577054,0.0090883140494035,best_available_across_quoted_books,all_quoted_books,-104,-102,0.5
2026-08-28,822935,TB,SD,Tampa Bay Rays,San Diego Padres,2026-08-28T23:10:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,0b16c66db57136bcbe0cb430b3315572,mybookieag,MyBookie.ag,2026-08-28T23:08:36Z,fanduel,FanDuel,2026-08-28T23:09:47Z,betrivers,BetRivers,2026-08-28T23:09:47Z,0.0056440714484463,0.0173768349095535,best_available_across_quoted_books,all_quoted_books,-122,115,0.5398773006134969
2026-08-28,822769,TOR,SEA,Toronto Blue Jays,Seattle Mariners,2026-08-28T23:15:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,365be8fc27b2eb31c003fc150dde54a5,bovada,Bovada,2026-08-28T23:09:25Z,fanduel,FanDuel,2026-08-28T23:09:46Z,betrivers,BetRivers,2026-08-28T23:08:57Z,0.0053882267614957,0.0188044848670774,best_available_across_quoted_books,all_quoted_books,-140,133,0.5738125802310654
2026-08-28,824877,ATL,COL,Atlanta Braves,Colorado Rockies,2026-08-28T23:15:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,6e66851b93b3cdcc4578b23ae9b93d6d,betonlineag,BetOnline.ag,2026-08-28T23:09:22Z,fanduel,FanDuel,2026-08-28T23:09:46Z,draftkings,DraftKings,2026-08-28T23:09:47Z,0.0033230652786184,0.0094778964259371,best_available_across_quoted_books,all_quoted_books,-215,200,0.6677321668909825
2026-08-28,823504,NYY,BOS,New York Yankees,Boston Red Sox,2026-08-28T23:15:00+00:00,2026-08-28T23:10:00.000262+00:00,9,9,2458fd8fd2cc9241175e46181d9b3066,lowvig,LowVig.ag,2026-08-28T23:09:48Z,mybookieag,MyBookie.ag,2026-08-28T23:08:36Z,draftkings,DraftKings,2026-08-28T23:09:47Z,0.0064625773005137,0.0227328731634508,best_available_across_quoted_books,all_quoted_books,-146,142,0.5877609341895642
2026-08-28,823744,MIL,TEX,Milwaukee Brewers,Texas Rangers,2026-08-28T23:40:00+00:00,2026-08-28T23:35:00.000267+00:00,9,9,57c478eb2e6623a9a63b654b20634fa1,betonlineag,BetOnline.ag,2026-08-28T23:34:18Z,mybookieag,MyBookie.ag,2026-08-28T23:33:26Z,draftkings,DraftKings,2026-08-28T23:34:38Z,0.0063200802635537,0.0245326726848159,best_available_across_quoted_books,all_quoted_books,-204,198,0.6619042425564402
2026-08-28,823666,MIN,CWS,Minnesota Twins,Chicago White Sox,2026-08-29T00:10:00+00:00,2026-08-29T00:10:00.000465+00:00,9,9,58cbf4ef2d32ebf1fa4fa41564b795c0,fanduel,FanDuel,2026-08-29T00:09:51Z,draftkings,DraftKings,2026-08-29T00:09:50Z,betrivers,BetRivers,2026-08-29T00:09:52Z,0.0046000236671036,0.0159563854526456,best_available_across_quoted_books,all_quoted_books,-124,118,0.5463304962261121
