date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-09-02,824147,HOU,CWS,Houston Astros,Chicago White Sox,2026-09-03T00:10:00+00:00,2026-09-03T00:05:00.000374+00:00,9,9,5315049742364f1f962411a129153260,fanduel,FanDuel,2026-09-03T00:04:38Z,betrivers,BetRivers,2026-09-03T00:04:12Z,betus,BetUS,2026-09-03T00:03:47Z,0.0027847605028798,0.0089617699653835,best_available_across_quoted_books,all_quoted_books,-137,124,0.5634920634920635
2026-09-02,823983,LAA,NYY,Los Angeles Angels,New York Yankees,2026-09-03T01:38:00+00:00,2026-09-03T01:33:00.000284+00:00,9,9,6467c41d2b7da8c9e8efcda4c5d5f7b8,draftkings,DraftKings,2026-09-03T01:32:29Z,betrivers,BetRivers,2026-09-03T01:32:27Z,lowvig,LowVig.ag,2026-09-03T01:32:28Z,0.0054529772091281,0.0210417257819327,best_available_across_quoted_books,all_quoted_books,145,-151,0.4102934934683162
2026-09-02,823906,LAD,STL,Los Angeles Dodgers,St. Louis Cardinals,2026-09-03T02:10:00+00:00,2026-09-03T02:05:00.000126+00:00,9,9,8cc27a7b0c6903978e605ba541bed625,draftkings,DraftKings,2026-09-03T02:03:54Z,betrivers,BetRivers,2026-09-03T02:04:43Z,bovada,Bovada,2026-09-03T02:04:47Z,0.003849849965120389,0.011767261667692486,best_available_across_quoted_books,all_quoted_books,-286,255,0.7210733865538136
