date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-11,824240,DET,CLE,Detroit Tigers,Cleveland Guardians,2026-08-11T22:40:00+00:00,2026-08-11T22:40:00.000313+00:00,9,-138,125,0.5660893345487694
2026-08-11,823832,MIA,PIT,Miami Marlins,Pittsburgh Pirates,2026-08-11T22:40:00+00:00,2026-08-11T22:40:00.000313+00:00,9,-102,-108,0.4930284439486894
2026-08-11,822697,WSH,CHC,Washington Nationals,Chicago Cubs,2026-08-11T22:45:00+00:00,2026-08-11T22:40:00.000313+00:00,9,158,-175,0.3785271851342051
2026-08-11,823512,NYY,SEA,New York Yankees,Seattle Mariners,2026-08-11T23:05:00+00:00,2026-08-11T23:02:00.000239+00:00,9,-130,118,0.5520062329567589
2026-08-11,822778,TOR,BOS,Toronto Blue Jays,Boston Red Sox,2026-08-11T23:07:00+00:00,2026-08-11T23:02:00.000239+00:00,9,-130,118,0.5520062329567589
2026-08-11,824886,ATL,NYM,Atlanta Braves,New York Mets,2026-08-11T23:15:00+00:00,2026-08-11T23:10:00.000292+00:00,9,-126,114,0.5440238883060285
2026-08-11,823673,MIN,BAL,Minnesota Twins,Baltimore Orioles,2026-08-11T23:40:00+00:00,2026-08-11T23:40:00.000499+00:00,9,-114,-103,0.5121724504249292
2026-08-11,824563,CWS,CIN,Chicago White Sox,Cincinnati Reds,2026-08-11T23:40:00+00:00,2026-08-11T23:40:00.000499+00:00,9,-152,136,0.5873722818967776
2026-08-11,823019,STL,PHI,St. Louis Cardinals,Philadelphia Phillies,2026-08-11T23:45:00+00:00,2026-08-11T23:40:00.000499+00:00,9,136,-161,0.4072016974538192
2026-08-11,823997,LAA,TEX,Los Angeles Angels,Texas Rangers,2026-08-12T01:38:00+00:00,2026-08-12T01:35:00.000270+00:00,9,132,-142,0.4234915301693966
2026-08-11,825046,ARI,COL,Arizona Diamondbacks,Colorado Rockies,2026-08-12T01:40:00+00:00,2026-08-12T01:40:00.000477+00:00,9,-167,151,0.6108836002739845
2026-08-11,824970,OAK,TB,Athletics,Tampa Bay Rays,2026-08-12T01:40:00+00:00,2026-08-12T01:40:00.000477+00:00,9,164,-182,0.369845766446333
2026-08-11,823264,SD,MIL,San Diego Padres,Milwaukee Brewers,2026-08-12T01:40:00+00:00,2026-08-12T01:40:00.000477+00:00,9,116,-128,0.4519505233111322
2026-08-11,823186,SF,HOU,San Francisco Giants,Houston Astros,2026-08-12T01:45:00+00:00,2026-08-12T01:40:00.000477+00:00,9,170,-189,0.3615663705742525
2026-08-11,823917,LAD,KC,Los Angeles Dodgers,Kansas City Royals,2026-08-12T02:10:00+00:00,2026-08-12T02:05:00.000287+00:00,9,-295,230,0.711362805991962
