date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-09-22,824867,ATL,CIN,Atlanta Braves,Cincinnati Reds,2026-09-22T23:15:00+00:00,2026-09-22T23:10:03.370883+00:00,9,9,0c17c76059d99e5bb249df6a7c540127,draftkings,DraftKings,2026-09-22T23:09:48Z,betus,BetUS,2026-09-22T23:09:46Z,betonlineag,BetOnline.ag,2026-09-22T23:09:23Z,0.0041646858680015,0.011548534492366,best_available_across_quoted_books,all_quoted_books,-225,204,0.6745579171706698
2026-09-22,824061,KC,CWS,Kansas City Royals,Chicago White Sox,2026-09-22T23:40:00+00:00,2026-09-22T23:35:00.000705+00:00,9,9,ebb664c5095200280fa1b15540c2c88b,betrivers,BetRivers,2026-09-22T23:34:34Z,betus,BetUS,2026-09-22T23:34:11Z,lowvig,LowVig.ag,2026-09-22T23:34:33Z,0.002386831874098,0.008408245133323,best_available_across_quoted_books,all_quoted_books,106,-116,0.4773218142548596
2026-09-22,824624,CHC,MIA,Chicago Cubs,Miami Marlins,2026-09-22T23:40:00+00:00,2026-09-22T23:35:00.000705+00:00,9,9,82b37a47daa08ef041c888d37b999303,betus,BetUS,2026-09-22T23:34:11Z,fanduel,FanDuel,2026-09-22T23:34:53Z,betrivers,BetRivers,2026-09-22T23:34:34Z,0.0073406337785187,0.0263244678696853,best_available_across_quoted_books,all_quoted_books,-200,188,0.6548942273216207
2026-09-22,822840,TEX,NYM,Texas Rangers,New York Mets,2026-09-23T00:05:00+00:00,2026-09-23T00:00:00.000699+00:00,9,9,1cfde197827ecee7feb17929bf32793b,draftkings,DraftKings,2026-09-22T23:59:45Z,betonlineag,BetOnline.ag,2026-09-22T23:59:27Z,fanduel,FanDuel,2026-09-22T23:59:45Z,0.0065162260457055,0.0181617840485771,best_available_across_quoted_books,all_quoted_books,-117,110,0.533347098905637
2026-09-22,824302,COL,ARI,Colorado Rockies,Arizona Diamondbacks,2026-09-23T00:40:00+00:00,2026-09-23T00:35:00.000333+00:00,9,9,afbac30624ec674873fd96ac159f69ad,bovada,Bovada,2026-09-23T00:34:19Z,betrivers,BetRivers,2026-09-23T00:34:37Z,lowvig,LowVig.ag,2026-09-23T00:34:37Z,0.005596395519973,0.0206587846929439,best_available_across_quoted_books,all_quoted_books,160,-170,0.3840424223373286
2026-09-22,824953,OAK,LAA,Athletics,Los Angeles Angels,2026-09-23T01:40:00+00:00,2026-09-23T01:40:00.000270+00:00,9,9,0ae15942e1f4c4657b06458868afbf96,fanduel,FanDuel,2026-09-23T01:39:31Z,betrivers,BetRivers,2026-09-23T01:39:12Z,betus,BetUS,2026-09-23T01:39:52Z,0.0074987706178331,0.0271895533876037,best_available_across_quoted_books,all_quoted_books,100,-104,0.5
2026-09-22,823089,SEA,HOU,Seattle Mariners,Houston Astros,2026-09-23T01:40:00+00:00,2026-09-23T01:40:00.000270+00:00,9,9,a5e0deb6f51b7edebbd82d0eaf966294,fanduel,FanDuel,2026-09-23T01:39:31Z,betus,BetUS,2026-09-23T01:39:52Z,lowvig,LowVig.ag,2026-09-23T01:39:15Z,0.0037213318696848,0.0113918341570287,best_available_across_quoted_books,all_quoted_books,-122,112,0.5427435387673957
2026-09-22,823166,SF,MIN,San Francisco Giants,Minnesota Twins,2026-09-23T01:45:00+00:00,2026-09-23T01:40:00.000270+00:00,9,9,81f539754930db6ffbd116ca2d30ee9c,fanduel,FanDuel,2026-09-23T01:39:31Z,betrivers,BetRivers,2026-09-23T01:39:12Z,lowvig,LowVig.ag,2026-09-23T01:39:15Z,0.0080620264520321,0.0263936461153878,best_available_across_quoted_books,all_quoted_books,130,-133,0.4365079365079364
2026-09-22,823897,LAD,SD,Los Angeles Dodgers,San Diego Padres,2026-09-23T02:10:00+00:00,2026-09-23T02:05:00.000337+00:00,9,9,85b75fcab1b69e0a4e414382b9f1cc7e,mybookieag,MyBookie.ag,2026-09-23T02:04:55Z,lowvig,LowVig.ag,2026-09-23T02:04:19Z,betrivers,BetRivers,2026-09-23T02:04:18Z,0.007063266173782186,0.022110741514102195,best_available_across_quoted_books,all_quoted_books,-117,112,0.533678756476684
