date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-23,824799,BAL,TB,Baltimore Orioles,Tampa Bay Rays,2026-08-23T17:35:00+00:00,2026-08-23T17:35:00.000530+00:00,9,9,919b54b699710c4b1f18913861564941,lowvig,LowVig.ag,2026-08-23T17:34:13Z,fanduel,FanDuel,2026-08-23T17:34:42Z,betrivers,BetRivers,2026-08-23T17:34:13Z,0.0057557116514885,0.0204457578207652,best_available_across_quoted_books,all_quoted_books,-106,102,0.5069715560513107
2026-08-23,823421,PHI,STL,Philadelphia Phillies,St. Louis Cardinals,2026-08-23T17:35:00+00:00,2026-08-23T17:35:00.000530+00:00,9,9,e8147bd69a2caf63f87fb43a5fe6e09a,lowvig,LowVig.ag,2026-08-23T17:34:13Z,betrivers,BetRivers,2026-08-23T17:34:13Z,draftkings,DraftKings,2026-08-23T17:34:41Z,0.0050642193986345,0.0191843805909204,best_available_across_quoted_books,all_quoted_books,-205,200,0.6622465491588744
2026-08-23,823507,NYY,TOR,New York Yankees,Toronto Blue Jays,2026-08-23T17:35:00+00:00,2026-08-23T17:35:00.000530+00:00,9,9,d9bbd7d0eafee71f6c247c16a8110194,betus,BetUS,2026-08-23T17:34:12Z,betonlineag,BetOnline.ag,2026-08-23T17:34:12Z,betrivers,BetRivers,2026-08-23T17:34:13Z,0.0040172897531555,0.0137422646830819,best_available_across_quoted_books,all_quoted_books,-121,115,0.5390276170001653
2026-08-23,823827,MIA,WSH,Miami Marlins,Washington Nationals,2026-08-23T17:40:00+00:00,2026-08-23T17:35:00.000530+00:00,9,9,7ef0cb74e5060370ebecf7de3a8a3ee2,lowvig,LowVig.ag,2026-08-23T17:34:13Z,betrivers,BetRivers,2026-08-23T17:34:13Z,draftkings,DraftKings,2026-08-23T17:34:41Z,0.004348969891919,0.0156687939971396,best_available_across_quoted_books,all_quoted_books,-152,147,0.5980932797457705
2026-08-23,824071,KC,DET,Kansas City Royals,Detroit Tigers,2026-08-23T18:10:00+00:00,2026-08-23T18:05:00.000671+00:00,9,9,15cfe72fafc6b5bc917827c3d0fb3a3e,betrivers,BetRivers,2026-08-23T18:04:11Z,draftkings,DraftKings,2026-08-23T18:04:37Z,mybookieag,MyBookie.ag,2026-08-23T18:03:45Z,0.0039185651539665,0.0138537895391802,best_available_across_quoted_books,all_quoted_books,100,-107,0.4922600619195047
2026-08-23,824150,HOU,OAK,Houston Astros,Athletics,2026-08-23T18:10:00+00:00,2026-08-23T18:05:00.000671+00:00,9,9,4731bd370d2e9b625c4bc720b6dbddba,betrivers,BetRivers,2026-08-23T18:04:11Z,fanduel,FanDuel,2026-08-23T18:04:38Z,fanduel,FanDuel,2026-08-23T18:04:38Z,0.0023843678139561,0.0062752132840407,best_available_across_quoted_books,all_quoted_books,-174,162,0.6220345798150382
2026-08-23,824558,CWS,NYM,Chicago White Sox,New York Mets,2026-08-23T18:10:00+00:00,2026-08-23T18:05:00.000671+00:00,9,9,4540181038b62ff0f7b86c43d390b7d1,betonlineag,BetOnline.ag,2026-08-23T18:04:11Z,draftkings,DraftKings,2026-08-23T18:04:37Z,betus,BetUS,2026-08-23T18:04:10Z,0.0033615400348233,0.0112103500703906,best_available_across_quoted_books,all_quoted_books,-102,-103,0.5023229882921391
2026-08-23,822856,TEX,LAA,Texas Rangers,Los Angeles Angels,2026-08-23T18:35:00+00:00,2026-08-23T18:30:00.000580+00:00,9,9,b6073dfd7753c58a0019a50ee954f355,lowvig,LowVig.ag,2026-08-23T18:29:51Z,fanduel,FanDuel,2026-08-23T18:29:51Z,draftkings,DraftKings,2026-08-23T18:29:23Z,0.0040773889244483,0.0141410927478733,best_available_across_quoted_books,all_quoted_books,-154,150,0.5980932797457705
2026-08-23,824315,COL,CLE,Colorado Rockies,Cleveland Guardians,2026-08-23T19:10:00+00:00,2026-08-23T19:10:00.000780+00:00,9,9,8382b682e2f2b236e23d2867f1ad2174,lowvig,LowVig.ag,2026-08-23T19:09:23Z,draftkings,DraftKings,2026-08-23T19:09:46Z,fanduel,FanDuel,2026-08-23T19:09:47Z,0.0038324571128394,0.0149532732939508,best_available_across_quoted_books,all_quoted_books,147,-156,0.4019067202542293
2026-08-23,824720,BOS,SF,Boston Red Sox,San Francisco Giants,2026-08-23T19:15:00+00:00,2026-08-23T19:10:00.000780+00:00,9,9,6f52474e91dc8f86fc924dc34be66354,betonlineag,BetOnline.ag,2026-08-23T19:09:20Z,betrivers,BetRivers,2026-08-23T19:09:20Z,draftkings,DraftKings,2026-08-23T19:09:46Z,0.0054045803839725,0.019661959992682,best_available_across_quoted_books,all_quoted_books,-195,190,0.6562218214607755
