date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-06,824804,BAL,LAA,Baltimore Orioles,Los Angeles Angels,2026-08-06T16:35:00+00:00,2026-08-06T16:34:59.945808+00:00,9,-190,163,0.6327719387109029
2026-08-06,824481,CIN,OAK,Cincinnati Reds,Athletics,2026-08-06T16:40:00+00:00,2026-08-06T16:34:59.945808+00:00,9,-162,147,0.6043132872202253
2026-08-06,824401,CLE,NYM,Cleveland Guardians,New York Mets,2026-08-06T17:10:00+00:00,2026-08-06T17:04:59.666286+00:00,9,-122,111,0.5369404697342622
2026-08-06,823754,MIL,PIT,Milwaukee Brewers,Pittsburgh Pirates,2026-08-06T18:10:00+00:00,2026-08-06T18:04:59.719559+00:00,9,-120,109,0.5327102803738317
2026-08-06,824664,CHC,TOR,Chicago Cubs,Toronto Blue Jays,2026-08-06T18:20:00+00:00,2026-08-06T18:14:59.976871+00:00,9,-104,-104,0.5
2026-08-06,823105,SEA,DET,Seattle Mariners,Detroit Tigers,2026-08-06T20:10:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-115,104,0.521797153024911
2026-08-06,823430,PHI,WSH,Philadelphia Phillies,Washington Nationals,2026-08-06T22:05:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-310,273,0.7382366085679627
2026-08-06,824729,BOS,CWS,Boston Red Sox,Chicago White Sox,2026-08-06T23:10:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-184,170,0.6362704918032788
2026-08-06,824885,ATL,MIA,Atlanta Braves,Miami Marlins,2026-08-06T23:15:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-143,130,0.5751005420528064
2026-08-06,824080,KC,MIN,Kansas City Royals,Minnesota Twins,2026-08-06T23:40:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-119,111,0.5341317620030207
2026-08-06,825053,ARI,SD,Arizona Diamondbacks,San Diego Padres,2026-08-07T01:40:00+00:00,2026-08-06T20:04:59.909088+00:00,9,-105,-105,0.5
