date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-22,823509,NYY,TOR,New York Yankees,Toronto Blue Jays,2026-08-22T17:35:00+00:00,2026-08-22T17:29:59.971667+00:00,9,9,37d5ada29cdca43791f56ead0c6f958a,lowvig,LowVig.ag,2026-08-22T17:29:48Z,betonlineag,BetOnline.ag,2026-08-22T17:29:47Z,fanduel,FanDuel,2026-08-22T17:29:46Z,0.0057473680544576,0.0185243789416577,best_available_across_quoted_books,all_quoted_books,103,-104,0.497677011707861
2026-08-22,823743,MIL,ATL,Milwaukee Brewers,Atlanta Braves,2026-08-22T18:10:00+00:00,2026-08-22T18:04:59.989928+00:00,9,9,44a6d81175e6cca1f6d5804b150427a1,bovada,Bovada,2026-08-22T18:04:41Z,betrivers,BetRivers,2026-08-22T18:04:39Z,draftkings,DraftKings,2026-08-22T18:04:38Z,0.0050290160655374,0.0156687939971396,best_available_across_quoted_books,all_quoted_books,-152,147,0.5980890270721164
2026-08-22,823831,MIA,WSH,Miami Marlins,Washington Nationals,2026-08-22T20:10:00+00:00,2026-08-22T20:04:59.992057+00:00,9,9,da4b9485dac20060b228d56c1eba64b2,fanduel,FanDuel,2026-08-22T20:04:48Z,fanduel,FanDuel,2026-08-22T20:04:48Z,draftkings,DraftKings,2026-08-22T20:04:47Z,0.0046873919306051,0.0174446092896619,best_available_across_quoted_books,all_quoted_books,-180,168,0.6309963099630996
2026-08-22,823422,PHI,STL,Philadelphia Phillies,St. Louis Cardinals,2026-08-22T22:05:00+00:00,2026-08-22T22:00:00.000307+00:00,9,9,981879bf214542d1037319de2491b463,lowvig,LowVig.ag,2026-08-22T21:59:20Z,betus,BetUS,2026-08-22T21:58:57Z,draftkings,DraftKings,2026-08-22T21:59:44Z,0.0036048450587368,0.0129860191766808,best_available_across_quoted_books,all_quoted_books,-153,147,0.5965083053348824
2026-08-22,824798,BAL,TB,Baltimore Orioles,Tampa Bay Rays,2026-08-22T23:05:00+00:00,2026-08-22T23:05:00.000553+00:00,9,9,a724c4baba286e2f8b35bb652ee597a1,draftkings,DraftKings,2026-08-22T23:04:07Z,fanduel,FanDuel,2026-08-22T23:04:11Z,draftkings,DraftKings,2026-08-22T23:04:07Z,0.0043637405310836,0.0129058600313796,best_available_across_quoted_books,all_quoted_books,116,-124,0.4554326610279765
2026-08-22,822858,TEX,LAA,Texas Rangers,Los Angeles Angels,2026-08-22T23:05:00+00:00,2026-08-22T23:05:00.000553+00:00,9,9,ba9273aecfb41580e1f1da93be63376c,betrivers,BetRivers,2026-08-22T23:04:31Z,lowvig,LowVig.ag,2026-08-22T23:04:07Z,fanduel,FanDuel,2026-08-22T23:04:11Z,0.0022152711235397,0.0064192375028986,best_available_across_quoted_books,all_quoted_books,-163,152,0.6080216101943743
2026-08-22,824151,HOU,OAK,Houston Astros,Athletics,2026-08-22T23:10:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,a397d1e33cd40684b963ed76d3e727ef,bovada,Bovada,2026-08-22T23:08:56Z,betus,BetUS,2026-08-22T23:09:43Z,draftkings,DraftKings,2026-08-22T23:09:18Z,0.0068298856187145,0.019247995539205,best_available_across_quoted_books,all_quoted_books,-225,217,0.6853932584269663
2026-08-22,824560,CWS,NYM,Chicago White Sox,New York Mets,2026-08-22T23:10:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,cbde6bd02f030c8e94c35c62ed4a4044,draftkings,DraftKings,2026-08-22T23:09:18Z,lowvig,LowVig.ag,2026-08-22T23:09:21Z,fanduel,FanDuel,2026-08-22T23:09:28Z,0.0070380363006088,0.0184839950151177,best_available_across_quoted_books,all_quoted_books,-104,102,0.5035612535612536
2026-08-22,824073,KC,DET,Kansas City Royals,Detroit Tigers,2026-08-22T23:15:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,49cc06c81f0e3b50d6dfa054a1883b24,fanduel,FanDuel,2026-08-22T23:09:28Z,draftkings,DraftKings,2026-08-22T23:09:18Z,fanduel,FanDuel,2026-08-22T23:09:28Z,0.0015208840746466,0.0045805284763542,best_available_across_quoted_books,all_quoted_books,-103,-104,0.5
2026-08-22,823910,LAD,PIT,Los Angeles Dodgers,Pittsburgh Pirates,2026-08-22T23:15:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,5099914e07241203eb3dca62ddc5318c,betrivers,BetRivers,2026-08-22T23:09:20Z,fanduel,FanDuel,2026-08-22T23:09:28Z,draftkings,DraftKings,2026-08-22T23:09:18Z,0.0038989327225034,0.0143894097951698,best_available_across_quoted_books,all_quoted_books,-250,240,0.7023445463812437
2026-08-22,823100,SEA,CHC,Seattle Mariners,Chicago Cubs,2026-08-22T23:15:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,41ad7c33eb3de5730091e2b719e433d2,draftkings,DraftKings,2026-08-22T23:09:18Z,betonlineag,BetOnline.ag,2026-08-22T23:09:20Z,fanduel,FanDuel,2026-08-22T23:09:28Z,0.0032771658782165,0.0110429492720675,best_available_across_quoted_books,all_quoted_books,-113,106,0.5209715506578209
2026-08-22,824718,BOS,SF,Boston Red Sox,San Francisco Giants,2026-08-22T23:15:00+00:00,2026-08-22T23:10:00.000309+00:00,9,9,9c20ecc53352a8369b35a68e8479750d,betonlineag,BetOnline.ag,2026-08-22T23:09:20Z,betonlineag,BetOnline.ag,2026-08-22T23:09:20Z,draftkings,DraftKings,2026-08-22T23:09:18Z,0.004359455210068,0.0135613999376672,best_available_across_quoted_books,all_quoted_books,-200,189,0.6511627906976745
