date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-09-08,823250,SD,WSH,San Diego Padres,Washington Nationals,2026-09-09T01:40:00+00:00,2026-09-09T01:40:00.000129+00:00,9,9,24d1608c7ffefab567006f6da92fc5f0,betus,BetUS,2026-09-09T01:39:32Z,betrivers,BetRivers,2026-09-09T01:39:32Z,lowvig,LowVig.ag,2026-09-09T01:39:32Z,0.0049990112635576,0.0176845015286647,best_available_across_quoted_books,all_quoted_books,-180,167,0.6297258672209952
2026-09-08,823092,SEA,TEX,Seattle Mariners,Texas Rangers,2026-09-09T01:40:00+00:00,2026-09-09T01:40:00.000129+00:00,9,9,9320b01114d200ee9f8d2fb0848e6496,betus,BetUS,2026-09-09T01:39:32Z,bovada,Bovada,2026-09-09T01:39:10Z,betus,BetUS,2026-09-09T01:39:32Z,0.0051571509677846,0.0152220234744125,best_available_across_quoted_books,all_quoted_books,-120,109,0.5327102803738317
2026-09-08,824957,OAK,TOR,Athletics,Toronto Blue Jays,2026-09-09T01:40:00+00:00,2026-09-09T01:40:00.000129+00:00,9,9,bbab891f2a9defcd506aafce495b42dc,lowvig,LowVig.ag,2026-09-09T01:39:32Z,betrivers,BetRivers,2026-09-09T01:39:32Z,lowvig,LowVig.ag,2026-09-09T01:39:32Z,0.0047943331385569,0.0166785663779693,best_available_across_quoted_books,all_quoted_books,160,-173,0.3813488294127508
2026-09-08,823174,SF,STL,San Francisco Giants,St. Louis Cardinals,2026-09-09T01:45:00+00:00,2026-09-09T01:40:00.000129+00:00,9,9,7fe872788a9a570ceb3aa6918bbf641d,betonlineag,BetOnline.ag,2026-09-09T01:39:35Z,betus,BetUS,2026-09-09T01:39:32Z,betonlineag,BetOnline.ag,2026-09-09T01:39:35Z,0.0037704129762253,0.0120426364891376,best_available_across_quoted_books,all_quoted_books,-102,-105,0.5
2026-09-08,823901,LAD,CIN,Los Angeles Dodgers,Cincinnati Reds,2026-09-09T02:10:00+00:00,2026-09-09T02:05:00.000490+00:00,9,9,f01c292dd868a51b739e2283164a5e94,bovada,Bovada,2026-09-09T02:04:48Z,betonlineag,BetOnline.ag,2026-09-09T02:04:42Z,betonlineag,BetOnline.ag,2026-09-09T02:04:42Z,0.003712479749187511,0.011463060871192643,best_available_across_quoted_books,all_quoted_books,-300,265,0.730077120822622
