date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-11,824249,DET,PHI,Detroit Tigers,Philadelphia Phillies,2026-07-11T22:10:00+00:00,2026-07-11T21:45:36.475059+00:00,9,122,-135,0.43949878436506445
2026-07-11,824813,BAL,KC,Baltimore Orioles,Kansas City Royals,2026-07-11T23:05:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-156,139,0.5929012149354367
2026-07-11,822875,TEX,HOU,Texas Rangers,Houston Astros,2026-07-11T23:05:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-116,105,0.5240193918025562
2026-07-11,824492,CIN,CHC,Cincinnati Reds,Chicago Cubs,2026-07-11T23:10:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-118,-102,0.5173641257162701
2026-07-11,823030,STL,ATL,St. Louis Cardinals,Atlanta Braves,2026-07-11T23:15:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-112,-107,0.5054504229528212
2026-07-11,823276,SD,TOR,San Diego Padres,Toronto Blue Jays,2026-07-12T00:40:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-112,-108,0.5043297540699688
2026-07-11,823926,LAD,ARI,Los Angeles Dodgers,Arizona Diamondbacks,2026-07-12T01:10:00+00:00,2026-07-11T21:45:36.475059+00:00,9,-285,225,0.7063870352716872
