date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-24,824235,DET,TB,Detroit Tigers,Tampa Bay Rays,2026-08-24T22:40:00+00:00,2026-08-24T22:39:59.999136+00:00,9,9,b5df91df571dbd961d2781f345abe770,lowvig,LowVig.ag,2026-08-24T22:39:57Z,draftkings,DraftKings,2026-08-24T22:39:32Z,fanduel,FanDuel,2026-08-24T22:39:56Z,0.0054250410459498,0.020632612325754,best_available_across_quoted_books,all_quoted_books,126,-128,0.4402799729058478
2026-08-24,823828,MIA,BOS,Miami Marlins,Boston Red Sox,2026-08-24T22:40:00+00:00,2026-08-24T22:39:59.999136+00:00,9,9,4849fd0ae15d275efe31050173d07d4e,fanduel,FanDuel,2026-08-24T22:39:56Z,draftkings,DraftKings,2026-08-24T22:39:32Z,betrivers,BetRivers,2026-08-24T22:39:54Z,0.0030444302432241,0.0101065641417161,best_available_across_quoted_books,all_quoted_books,114,-121,0.461884154460719
2026-08-24,822695,WSH,COL,Washington Nationals,Colorado Rockies,2026-08-24T22:45:00+00:00,2026-08-24T22:39:59.999136+00:00,9,9,e3da176886eb60e63e5b0017a5f213bc,betus,BetUS,2026-08-24T22:39:32Z,fanduel,FanDuel,2026-08-24T22:39:56Z,betonlineag,BetOnline.ag,2026-08-24T22:39:54Z,0.0052287182144933,0.0176676045933056,best_available_across_quoted_books,all_quoted_books,-194,184,0.6513887301405874
2026-08-24,824557,CWS,TEX,Chicago White Sox,Texas Rangers,2026-08-24T23:40:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,e22d48c563e1729e04698e0cdbe8c548,bovada,Bovada,2026-08-24T23:34:01Z,fanduel,FanDuel,2026-08-24T23:34:26Z,betrivers,BetRivers,2026-08-24T23:34:46Z,0.005521168610685166,0.017134966604681168,best_available_across_quoted_books,all_quoted_books,-124,120,0.5443833464257659
2026-08-24,823992,LAA,CLE,Los Angeles Angels,Cleveland Guardians,2026-08-25T01:38:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,edcd5c7c7dde7d1aa67403952e1dd586,betmgm,BetMGM,2026-08-24T23:33:15Z,draftkings,DraftKings,2026-08-24T23:34:45Z,fanduel,FanDuel,2026-08-24T23:34:26Z,0.002907555188483365,0.009704373599605465,best_available_across_quoted_books,all_quoted_books,147,-158,0.39823008849557523
2026-08-24,825041,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,2026-08-25T01:40:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,c5a5e268823c62f5cdee679faf9b778c,betus,BetUS,2026-08-24T23:34:27Z,draftkings,DraftKings,2026-08-24T23:34:45Z,fanduel,FanDuel,2026-08-24T23:34:26Z,0.0030539368286710573,0.01046145810695226,best_available_across_quoted_books,all_quoted_books,130,-138,0.4295364214803857
2026-08-24,823260,SD,PIT,San Diego Padres,Pittsburgh Pirates,2026-08-25T01:40:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,2ab56418bedb6fb0868a59b06da5a155,betus,BetUS,2026-08-24T23:34:27Z,draftkings,DraftKings,2026-08-24T23:34:45Z,draftkings,DraftKings,2026-08-24T23:34:45Z,0.003028881327282002,0.009580839211310699,best_available_across_quoted_books,all_quoted_books,-112,104,0.5207810820494446
2026-08-24,824964,OAK,MIN,Athletics,Minnesota Twins,2026-08-25T01:40:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,8e1262b8729ca1c5b33dc4667cb1bd1a,betus,BetUS,2026-08-24T23:34:27Z,draftkings,DraftKings,2026-08-24T23:34:45Z,fanduel,FanDuel,2026-08-24T23:34:26Z,0.0018696710212968638,0.004746969568534376,best_available_across_quoted_books,all_quoted_books,131,-140,0.4277432126696832
2026-08-24,823097,SEA,PHI,Seattle Mariners,Philadelphia Phillies,2026-08-25T01:40:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,2e44a824f3dff9caa3501c74ba68fe03,betmgm,BetMGM,2026-08-24T23:33:15Z,lowvig,LowVig.ag,2026-08-24T23:34:46Z,draftkings,DraftKings,2026-08-24T23:34:45Z,0.0014306110713833494,0.004944983353521393,best_available_across_quoted_books,all_quoted_books,103,-111,0.4826358742837298
2026-08-24,823183,SF,CIN,San Francisco Giants,Cincinnati Reds,2026-08-25T01:45:00+00:00,2026-08-24T23:34:59.989339+00:00,9,9,b8eb14e08e109af0db5e66685ac4a2ff,betonlineag,BetOnline.ag,2026-08-24T23:34:45Z,draftkings,DraftKings,2026-08-24T23:34:45Z,draftkings,DraftKings,2026-08-24T23:34:45Z,0.0035476984871693758,0.014014922327420576,best_available_across_quoted_books,all_quoted_books,152,-163,0.3920988384996671
