date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-07,823349,PIT,NYM,Pittsburgh Pirates,New York Mets,2026-08-07T22:40:00+00:00,2026-08-07T22:40:00.000356+00:00,9,-128,119,0.5514636449480642
2026-08-07,823428,PHI,TOR,Philadelphia Phillies,Toronto Blue Jays,2026-08-07T22:40:00+00:00,2026-08-07T22:40:00.000356+00:00,9,-205,184,0.6562218214607755
2026-08-07,822699,WSH,CIN,Washington Nationals,Cincinnati Reds,2026-08-07T22:45:00+00:00,2026-08-07T22:40:00.000356+00:00,9,-119,111,0.5341317620030207
2026-08-07,823515,NYY,ATL,New York Yankees,Atlanta Braves,2026-08-07T23:05:00+00:00,2026-08-07T23:05:00.000158+00:00,9,-122,111,0.5369404697342622
2026-08-07,824727,BOS,OAK,Boston Red Sox,Athletics,2026-08-07T23:10:00+00:00,2026-08-07T23:05:00.000158+00:00,9,-260,240,0.7106109324758842
2026-08-07,823836,MIA,LAA,Miami Marlins,Los Angeles Angels,2026-08-07T23:10:00+00:00,2026-08-07T23:05:00.000158+00:00,9,-148,133,0.5816746508332771
2026-08-07,824566,CWS,CLE,Chicago White Sox,Cleveland Guardians,2026-08-07T23:40:00+00:00,2026-08-07T23:35:00.000625+00:00,9,128,-142,0.4277432126696832
2026-08-07,823750,MIL,MIN,Milwaukee Brewers,Minnesota Twins,2026-08-07T23:40:00+00:00,2026-08-07T23:35:00.000625+00:00,9,-175,154,0.6177901320361362
2026-08-07,824081,KC,CHC,Kansas City Royals,Chicago Cubs,2026-08-08T00:10:00+00:00,2026-08-08T00:10:00.000520+00:00,9,149,-165,0.3920988384996671
2026-08-07,823024,STL,COL,St. Louis Cardinals,Colorado Rockies,2026-08-08T00:15:00+00:00,2026-08-08T00:10:00.000520+00:00,9,-175,145,0.6092362344582594
2026-08-07,822863,TEX,BAL,Texas Rangers,Baltimore Orioles,2026-08-08T00:15:00+00:00,2026-08-08T00:10:00.000520+00:00,9,-141,131,0.5747384023574668
2026-08-07,825051,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,2026-08-08T01:40:00+00:00,2026-08-08T01:40:00.000358+00:00,9,154,-190,0.3753559409785141
2026-08-07,823266,SD,HOU,San Diego Padres,Houston Astros,2026-08-08T01:40:00+00:00,2026-08-08T01:40:00.000358+00:00,9,-114,-103,0.5121724504249292
2026-08-07,823103,SEA,TB,Seattle Mariners,Tampa Bay Rays,2026-08-08T01:45:00+00:00,2026-08-08T01:40:00.000358+00:00,9,-114,100,0.5158371040723981
2026-08-07,823191,SF,DET,San Francisco Giants,Detroit Tigers,2026-08-08T02:15:00+00:00,2026-08-08T02:10:00.000228+00:00,9,125,-150,0.4255319148936171
