date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-12,823358,PIT,MIL,Pittsburgh Pirates,Milwaukee Brewers,2026-07-12T16:15:00+00:00,2026-07-12T16:09:59.819140+00:00,9,-130,110,0.5427435387673957
2026-07-12,824814,BAL,KC,Baltimore Orioles,Kansas City Royals,2026-07-12T17:35:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-156,129,0.5825451699171612
2026-07-12,822708,WSH,NYY,Washington Nationals,New York Yankees,2026-07-12T17:35:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-125,105,0.5324675324675325
2026-07-12,824491,CIN,CHC,Cincinnati Reds,Chicago Cubs,2026-07-12T17:40:00+00:00,2026-07-12T17:34:59.999010+00:00,9,110,-132,0.4556166535742341
2026-07-12,823602,NYM,BOS,New York Mets,Boston Red Sox,2026-07-12T17:40:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-104,-113,0.4900451287496682
2026-07-12,822951,TB,SEA,Tampa Bay Rays,Seattle Mariners,2026-07-12T17:40:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-147,133,0.5810079557598683
2026-07-12,824250,DET,PHI,Detroit Tigers,Philadelphia Phillies,2026-07-12T17:40:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-136,113,0.551057677674631
2026-07-12,823842,MIA,CLE,Miami Marlins,Cleveland Guardians,2026-07-12T17:40:00+00:00,2026-07-12T17:34:59.999010+00:00,9,-105,-114,0.4901832460732984
2026-07-12,823681,MIN,LAA,Minnesota Twins,Los Angeles Angels,2026-07-12T18:10:00+00:00,2026-07-12T18:09:59.999130+00:00,9,-128,116,0.5480494766888677
2026-07-12,824574,CWS,OAK,Chicago White Sox,Athletics,2026-07-12T18:10:00+00:00,2026-07-12T18:09:59.999130+00:00,9,-154,130,0.5823742190069057
2026-07-12,823029,STL,ATL,St. Louis Cardinals,Atlanta Braves,2026-07-12T18:15:00+00:00,2026-07-12T18:09:59.999130+00:00,9,-129,117,0.5500363507751557
2026-07-12,822876,TEX,HOU,Texas Rangers,Houston Astros,2026-07-12T18:35:00+00:00,2026-07-12T18:29:59.995485+00:00,9,-145,120,0.5656028368794326
2026-07-12,823199,SF,COL,San Francisco Giants,Colorado Rockies,2026-07-12T20:05:00+00:00,2026-07-12T20:04:59.999029+00:00,9,-150,128,0.5777027027027027
2026-07-12,823925,LAD,ARI,Los Angeles Dodgers,Arizona Diamondbacks,2026-07-12T20:10:00+00:00,2026-07-12T20:04:59.999029+00:00,9,-230,191,0.6697688381867308
2026-07-12,823274,SD,TOR,San Diego Padres,Toronto Blue Jays,2026-07-12T20:10:00+00:00,2026-07-12T20:04:59.999029+00:00,9,108,-130,0.45963229416466833
