date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-26,822692,WSH,COL,Washington Nationals,Colorado Rockies,2026-08-26T22:45:00+00:00,2026-08-26T22:46:32.876557+00:00,9,9,886be82de38102833fb4e1eb8d27d5c0,betonlineag,BetOnline.ag,2026-08-26T22:45:08Z,mybookieag,MyBookie.ag,2026-08-26T22:45:10Z,draftkings,DraftKings,2026-08-26T22:46:21Z,0.0047605438574604,0.0157027181562319,best_available_across_quoted_books,all_quoted_books,-136,124,0.562379468921525
2026-08-26,823506,NYY,HOU,New York Yankees,Houston Astros,2026-08-26T23:05:00+00:00,2026-08-26T23:05:00.000531+00:00,9,9,eac892ca71681204f568fed8fae2412c,mybookieag,MyBookie.ag,2026-08-26T23:02:51Z,draftkings,DraftKings,2026-08-26T23:04:23Z,draftkings,DraftKings,2026-08-26T23:04:23Z,0.0026367058334887,0.0091683258101877,best_available_across_quoted_books,all_quoted_books,-118,110,0.5306745238345786
2026-08-26,822772,TOR,KC,Toronto Blue Jays,Kansas City Royals,2026-08-26T23:07:00+00:00,2026-08-26T23:05:00.000531+00:00,9,9,9fc104e94a575a09146f04bf7bbb0e32,lowvig,LowVig.ag,2026-08-26T23:04:25Z,fanduel,FanDuel,2026-08-26T23:04:46Z,betrivers,BetRivers,2026-08-26T23:04:03Z,0.0056593121446078,0.0197279065571354,best_available_across_quoted_books,all_quoted_books,-148,143,0.5916792592354435
2026-08-26,823584,NYM,MIL,New York Mets,Milwaukee Brewers,2026-08-26T23:10:00+00:00,2026-08-26T23:10:00.000590+00:00,9,9,821b22e0957b3177e6e950de4b55696f,fanduel,FanDuel,2026-08-26T23:09:44Z,draftkings,DraftKings,2026-08-26T23:09:44Z,lowvig,LowVig.ag,2026-08-26T23:09:19Z,0.0061004018061513,0.0187540205120327,best_available_across_quoted_books,all_quoted_books,144,-147,0.4131680661068906
2026-08-26,824878,ATL,LAD,Atlanta Braves,Los Angeles Dodgers,2026-08-26T23:15:00+00:00,2026-08-26T23:10:00.000590+00:00,9,9,04da7d827887da84da9926f799c9153d,betus,BetUS,2026-08-26T23:09:42Z,fanduel,FanDuel,2026-08-26T23:09:44Z,lowvig,LowVig.ag,2026-08-26T23:09:19Z,0.0026499343917929,0.007756905586245,best_available_across_quoted_books,all_quoted_books,112,-119,0.4672897196261682
2026-08-26,824555,CWS,TEX,Chicago White Sox,Texas Rangers,2026-08-26T23:40:00+00:00,2026-08-26T23:40:00.000252+00:00,9,9,78fdc67e4f138889d4f1634cb2c5500a,draftkings,DraftKings,2026-08-26T23:38:13Z,draftkings,DraftKings,2026-08-26T23:38:13Z,fanduel,FanDuel,2026-08-26T23:39:43Z,0.0022054985500961,0.0069867252220781,best_available_across_quoted_books,all_quoted_books,-118,110,0.5319879776728209
2026-08-26,823015,STL,BAL,St. Louis Cardinals,Baltimore Orioles,2026-08-26T23:45:00+00:00,2026-08-26T23:40:00.000252+00:00,9,9,18cd67572e0e03220737b61b0542a0c0,lowvig,LowVig.ag,2026-08-26T23:39:43Z,fanduel,FanDuel,2026-08-26T23:39:43Z,draftkings,DraftKings,2026-08-26T23:38:13Z,0.0021356256737354,0.0061876119588502,best_available_across_quoted_books,all_quoted_books,100,-106,0.4930284439486894
2026-08-26,824963,OAK,MIN,Athletics,Minnesota Twins,2026-08-27T01:05:00+00:00,2026-08-27T01:00:00.000484+00:00,9,9,d8f4d0d32572d2c5acdc10831f7b16b3,bovada,Bovada,2026-08-27T00:59:23Z,fanduel,FanDuel,2026-08-27T00:59:43Z,draftkings,DraftKings,2026-08-27T00:59:43Z,0.0016581929789185907,0.005611210995525084,best_available_across_quoted_books,all_quoted_books,122,-129,0.44510940714419295
