date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-09-11,824227,DET,COL,Detroit Tigers,Colorado Rockies,2026-09-11T22:40:00+00:00,2026-09-11T22:40:00.000272+00:00,9,9,ef265df05ca10a02712319b8f7e74641,betrivers,BetRivers,2026-09-11T22:39:47Z,betonlineag,BetOnline.ag,2026-09-11T22:39:47Z,betonlineag,BetOnline.ag,2026-09-11T22:39:47Z,0.0022898483636666,0.0081971736481627,best_available_across_quoted_books,all_quoted_books,-177,160,0.6238326976193608
2026-09-11,822684,WSH,LAA,Washington Nationals,Los Angeles Angels,2026-09-11T22:45:00+00:00,2026-09-11T22:40:00.000272+00:00,9,9,4e9f6bd2e2e14a12f13b59aec5f1cc9b,betonlineag,BetOnline.ag,2026-09-11T22:39:47Z,betonlineag,BetOnline.ag,2026-09-11T22:39:47Z,betrivers,BetRivers,2026-09-11T22:39:47Z,0.0074654567335155,0.0289019190626252,best_available_across_quoted_books,all_quoted_books,-152,145,0.5894160583941606
2026-09-11,823498,NYY,NYM,New York Yankees,New York Mets,2026-09-11T23:05:00+00:00,2026-09-11T23:05:00.000404+00:00,9,9,ab86ebba3f52707e5e73c1f5b033e519,bovada,Bovada,2026-09-11T23:03:36Z,lowvig,LowVig.ag,2026-09-11T23:04:58Z,betrivers,BetRivers,2026-09-11T23:04:31Z,0.0056542359434392,0.0177632483844499,best_available_across_quoted_books,all_quoted_books,-123,118,0.5443833464257659
2026-09-11,822767,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,2026-09-11T23:07:00+00:00,2026-09-11T23:05:00.000404+00:00,9,9,b084312c8b37425295cd59e2bb125e76,mybookieag,MyBookie.ag,2026-09-11T23:03:34Z,betus,BetUS,2026-09-11T23:04:33Z,lowvig,LowVig.ag,2026-09-11T23:04:58Z,0.0028048518794973,0.0091816753493512,best_available_across_quoted_books,all_quoted_books,-127,120,0.552594002855783
2026-09-11,824711,BOS,KC,Boston Red Sox,Kansas City Royals,2026-09-11T23:10:00+00:00,2026-09-11T23:10:00.000185+00:00,9,9,91145bbf22effd4629f774cd19f241a0,betmgm,BetMGM,2026-09-11T23:08:47Z,betonlineag,BetOnline.ag,2026-09-11T23:09:12Z,draftkings,DraftKings,2026-09-11T23:09:12Z,0.0031740420589628,0.0084915319478894,best_available_across_quoted_books,all_quoted_books,-196,177,0.6465222348916762
2026-09-11,822930,TB,HOU,Tampa Bay Rays,Houston Astros,2026-09-11T23:10:00+00:00,2026-09-11T23:10:00.000185+00:00,9,9,3c3f42ca13e41dbc966dfb7f8361a615,bovada,Bovada,2026-09-11T23:09:17Z,betus,BetUS,2026-09-11T23:08:46Z,fanduel,FanDuel,2026-09-11T23:09:39Z,0.0037793283194022,0.0132083282511907,best_available_across_quoted_books,all_quoted_books,-183,168,0.6347492436726763
2026-09-11,823817,MIA,LAD,Miami Marlins,Los Angeles Dodgers,2026-09-11T23:10:00+00:00,2026-09-11T23:10:00.000185+00:00,9,9,2a71920945eea81357374c316f625200,lowvig,LowVig.ag,2026-09-11T23:09:41Z,betrivers,BetRivers,2026-09-11T23:09:13Z,betmgm,BetMGM,2026-09-11T23:08:47Z,0.0069184537113632,0.0268489125353397,best_available_across_quoted_books,all_quoted_books,175,-190,0.3590287716527662
2026-09-11,824873,ATL,PHI,Atlanta Braves,Philadelphia Phillies,2026-09-11T23:15:00+00:00,2026-09-11T23:10:00.000185+00:00,9,9,cd6e588ebdaf04eb7def2c1d33b7144e,betus,BetUS,2026-09-11T23:08:46Z,lowvig,LowVig.ag,2026-09-11T23:09:41Z,fanduel,FanDuel,2026-09-11T23:09:39Z,0.0023904910879379,0.0077565562390713,best_available_across_quoted_books,all_quoted_books,-175,158,0.6233902972381955
2026-09-11,823736,MIL,CIN,Milwaukee Brewers,Cincinnati Reds,2026-09-11T23:45:00+00:00,2026-09-11T23:40:00.000231+00:00,9,9,05e1dc324ef4dc27ef82ce5b917086df,betrivers,BetRivers,2026-09-11T23:39:15Z,lowvig,LowVig.ag,2026-09-11T23:39:46Z,lowvig,LowVig.ag,2026-09-11T23:39:46Z,0.0028349679548906,0.0082673811731308,best_available_across_quoted_books,all_quoted_books,-195,175,0.6428571428571429
2026-09-11,823659,MIN,CLE,Minnesota Twins,Cleveland Guardians,2026-09-12T00:10:00+00:00,2026-09-12T00:10:00.000499+00:00,9,9,33fe59d6a76323b4bbbed9cc6cf368e9,draftkings,DraftKings,2026-09-12T00:09:30Z,betus,BetUS,2026-09-12T00:08:54Z,betonlineag,BetOnline.ag,2026-09-12T00:09:34Z,0.0034768878361441,0.0112141692081128,best_available_across_quoted_books,all_quoted_books,105,-115,0.4804509318389157
