date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-22,822873,TEX,CWS,Texas Rangers,Chicago White Sox,2026-07-23T00:05:00+00:00,2026-07-23T00:05:00.000185+00:00,9,107,-118,0.4715960714749275
2026-07-22,824650,CHC,DET,Chicago Cubs,Detroit Tigers,2026-07-23T00:10:00+00:00,2026-07-23T00:05:00.000185+00:00,9,-121,110,0.534834771627026
2026-07-22,824166,HOU,MIA,Houston Astros,Miami Marlins,2026-07-23T00:10:00+00:00,2026-07-23T00:05:00.000185+00:00,9,-106,-104,0.5023229882921391
