date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-24,824248,DET,KC,Detroit Tigers,Kansas City Royals,2026-07-24T22:40:00+00:00,2026-07-24T22:40:00.000460+00:00,9,-252,225,0.6994022203245089
2026-07-24,823352,PIT,CHC,Pittsburgh Pirates,Chicago Cubs,2026-07-24T22:40:00+00:00,2026-07-24T22:40:00.000460+00:00,9,-108,-108,0.5
2026-07-24,822707,WSH,ARI,Washington Nationals,Arizona Diamondbacks,2026-07-24T22:45:00+00:00,2026-07-24T22:40:00.000460+00:00,9,104,-126,0.4678701556806889
2026-07-24,823434,PHI,NYY,Philadelphia Phillies,New York Yankees,2026-07-24T22:45:00+00:00,2026-07-24T22:40:00.000460+00:00,9,-135,122,0.5605012156349355
2026-07-24,824812,BAL,ATL,Baltimore Orioles,Atlanta Braves,2026-07-24T23:05:00+00:00,2026-07-24T23:05:00.000625+00:00,9,-130,118,0.5520062329567589
2026-07-24,823601,NYM,LAD,New York Mets,Los Angeles Dodgers,2026-07-24T23:10:00+00:00,2026-07-24T23:10:00.000245+00:00,9,110,-121,0.4651652283729741
2026-07-24,822952,TB,CLE,Tampa Bay Rays,Cleveland Guardians,2026-07-24T23:10:00+00:00,2026-07-24T23:10:00.000245+00:00,9,-138,118,0.5583104446588969
2026-07-24,823843,MIA,SD,Miami Marlins,San Diego Padres,2026-07-24T23:10:00+00:00,2026-07-24T23:10:00.000245+00:00,9,-120,105,0.5278969957081545
2026-07-24,824733,BOS,TOR,Boston Red Sox,Toronto Blue Jays,2026-07-24T23:15:00+00:00,2026-07-24T23:10:00.000245+00:00,9,-131,109,0.5423839616474178
2026-07-24,824573,CWS,HOU,Chicago White Sox,Houston Astros,2026-07-24T23:40:00+00:00,2026-07-24T23:35:00.000525+00:00,9,-134,114,0.5506567324679315
2026-07-24,822872,TEX,SEA,Texas Rangers,Seattle Mariners,2026-07-25T00:05:00+00:00,2026-07-25T00:05:00.000438+00:00,9,100,-110,0.4883720930232558
2026-07-24,823680,MIN,OAK,Minnesota Twins,Athletics,2026-07-25T00:10:00+00:00,2026-07-25T00:10:00.000251+00:00,9,-132,120,0.555895865237366
2026-07-24,823031,STL,CIN,St. Louis Cardinals,Cincinnati Reds,2026-07-25T00:15:00+00:00,2026-07-25T00:10:00.000251+00:00,9,-140,126,0.5686556434219986
2026-07-24,823196,SF,LAA,San Francisco Giants,Los Angeles Angels,2026-07-25T02:15:00+00:00,2026-07-25T02:10:00.000485+00:00,9,-157,138,0.5924904068753369
