date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-07-29,822947,TB,TEX,Tampa Bay Rays,Texas Rangers,2026-07-29T22:40:00+00:00,2026-07-29T22:35:00.000678+00:00,9,-142,128,0.5722567873303167
2026-07-29,823598,NYM,ATL,New York Mets,Atlanta Braves,2026-07-29T23:10:00+00:00,2026-07-29T23:05:00.000246+00:00,9,152,-172,0.38557496030846
2026-07-29,824487,CIN,CLE,Cincinnati Reds,Cleveland Guardians,2026-07-29T23:10:00+00:00,2026-07-29T23:05:00.000246+00:00,9,120,-136,0.4409566517189835
2026-07-29,823677,MIN,KC,Minnesota Twins,Kansas City Royals,2026-07-29T23:40:00+00:00,2026-07-29T23:40:00.000595+00:00,9,-195,170,0.6409007912355448
2026-07-29,824567,CWS,NYY,Chicago White Sox,New York Yankees,2026-07-29T23:40:00+00:00,2026-07-29T23:40:00.000595+00:00,9,123,-144,0.431766704416761
2026-07-29,823022,STL,CHC,St. Louis Cardinals,Chicago Cubs,2026-07-29T23:45:00+00:00,2026-07-29T23:40:00.000595+00:00,9,-112,-108,0.5043297540699688
2026-07-29,824002,LAA,HOU,Los Angeles Angels,Houston Astros,2026-07-30T01:38:00+00:00,2026-07-30T01:35:00.000280+00:00,9,114,-129,0.4534114758642538
2026-07-29,824973,OAK,BOS,Athletics,Boston Red Sox,2026-07-30T01:40:00+00:00,2026-07-30T01:35:00.000280+00:00,9,132,-146,0.4207141879874127
2026-07-29,823924,LAD,SEA,Los Angeles Dodgers,Seattle Mariners,2026-07-30T02:10:00+00:00,2026-07-30T02:05:00.000212+00:00,9,-184,154,0.6220187393526406
