date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-25,824233,DET,TB,Detroit Tigers,Tampa Bay Rays,2026-08-25T22:40:00+00:00,2026-08-25T22:41:31.509559+00:00,9,9,259b6ad0c039c2a2dd00d378d88eb549,mybookieag,MyBookie.ag,2026-08-25T22:40:56Z,betus,BetUS,2026-08-25T22:39:42Z,fanduel,FanDuel,2026-08-25T22:41:19Z,0.0048002976600605,0.0174343267758275,best_available_across_quoted_books,all_quoted_books,120,-125,0.4512967518255245
2026-08-25,823826,MIA,BOS,Miami Marlins,Boston Red Sox,2026-08-25T22:40:00+00:00,2026-08-25T22:41:31.509559+00:00,9,9,209f31db8e00b79cd7185e2e0d10d825,betrivers,BetRivers,2026-08-25T22:40:57Z,lowvig,LowVig.ag,2026-08-25T22:41:20Z,draftkings,DraftKings,2026-08-25T22:40:55Z,0.0080552251215767,0.0269090952850027,best_available_across_quoted_books,all_quoted_books,133,-134,0.4259054554912543
2026-08-25,822693,WSH,COL,Washington Nationals,Colorado Rockies,2026-08-25T22:45:00+00:00,2026-08-25T22:41:31.509559+00:00,9,9,4819f8690b221a33563af84c498578c2,bovada,Bovada,2026-08-25T22:40:57Z,draftkings,DraftKings,2026-08-25T22:40:55Z,fanduel,FanDuel,2026-08-25T22:41:19Z,0.0043598983025317,0.014283327669856,best_available_across_quoted_books,all_quoted_books,-157,150,0.6047890270835755
2026-08-25,823505,NYY,HOU,New York Yankees,Houston Astros,2026-08-25T23:05:00+00:00,2026-08-25T23:05:00.000711+00:00,9,9,187cbd24b1e45a99e9ecaf256baeb7c1,fanduel,FanDuel,2026-08-25T23:04:47Z,draftkings,DraftKings,2026-08-25T23:04:47Z,fanduel,FanDuel,2026-08-25T23:04:47Z,0.0029723900438399,0.0120969324426338,best_available_across_quoted_books,all_quoted_books,-137,128,0.5693398957730169
2026-08-25,822773,TOR,KC,Toronto Blue Jays,Kansas City Royals,2026-08-25T23:07:00+00:00,2026-08-25T23:05:00.000711+00:00,9,9,587e76b251f060a951bfa47ee07cf6ac,betonlineag,BetOnline.ag,2026-08-25T23:04:47Z,fanduel,FanDuel,2026-08-25T23:04:47Z,draftkings,DraftKings,2026-08-25T23:04:47Z,0.0029040556151344,0.0077683642487536,best_available_across_quoted_books,all_quoted_books,-126,120,0.5520062329567589
2026-08-25,823585,NYM,MIL,New York Mets,Milwaukee Brewers,2026-08-25T23:10:00+00:00,2026-08-25T23:10:00.000356+00:00,9,9,5adabe1a546de0ad6f64e2789b2b8f8d,betmgm,BetMGM,2026-08-25T23:09:03Z,fanduel,FanDuel,2026-08-25T23:09:47Z,betrivers,BetRivers,2026-08-25T23:09:01Z,0.0050149855144837,0.0188845299358624,best_available_across_quoted_books,all_quoted_books,150,-157,0.3982300884955752
2026-08-25,824881,ATL,LAD,Atlanta Braves,Los Angeles Dodgers,2026-08-25T23:15:00+00:00,2026-08-25T23:10:00.000356+00:00,9,9,d7bed76714eb2b887f979d5156f6863c,betmgm,BetMGM,2026-08-25T23:09:03Z,draftkings,DraftKings,2026-08-25T23:09:24Z,fanduel,FanDuel,2026-08-25T23:09:47Z,0.0043614672078599,0.0121300912442581,best_available_across_quoted_books,all_quoted_books,142,-148,0.4088050314465409
2026-08-25,824556,CWS,TEX,Chicago White Sox,Texas Rangers,2026-08-25T23:40:00+00:00,2026-08-25T23:40:00.000402+00:00,9,9,6e7150d8c439882971bcb51d92f290ca,mybookieag,MyBookie.ag,2026-08-25T23:38:54Z,draftkings,DraftKings,2026-08-25T23:39:18Z,betonlineag,BetOnline.ag,2026-08-25T23:39:19Z,0.0049538971735207,0.0149230200731938,best_available_across_quoted_books,all_quoted_books,103,-109,0.4878275495750709
2026-08-25,823016,STL,BAL,St. Louis Cardinals,Baltimore Orioles,2026-08-25T23:45:00+00:00,2026-08-25T23:40:00.000402+00:00,9,9,928203119cbe56b5e4102e4372ff78bd,betonlineag,BetOnline.ag,2026-08-25T23:39:19Z,draftkings,DraftKings,2026-08-25T23:39:18Z,betrivers,BetRivers,2026-08-25T23:39:40Z,0.005870562985174,0.0224904510483882,best_available_across_quoted_books,all_quoted_books,-119,115,0.5369404697342622
2026-08-25,823989,LAA,CLE,Los Angeles Angels,Cleveland Guardians,2026-08-26T01:38:00+00:00,2026-08-26T01:35:00.000176+00:00,9,9,57e5de55a9616dbe31da6693615d0af8,betus,BetUS,2026-08-26T01:33:53Z,fanduel,FanDuel,2026-08-26T01:34:35Z,draftkings,DraftKings,2026-08-26T01:34:15Z,0.0029152490079372,0.0083884039714016,best_available_across_quoted_books,all_quoted_books,134,-140,0.4235090751944684
