date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,n_executable_books,odds_event_id,bookmaker_key,bookmaker_title,bookmaker_last_update,home_bookmaker_key,home_bookmaker_title,home_bookmaker_last_update,away_bookmaker_key,away_bookmaker_title,away_bookmaker_last_update,book_prob_std,book_prob_range,price_selection_method,price_universe,home_ml_close,away_ml_close,home_no_vig_prob
2026-09-24,824707,BOS,CLE,Boston Red Sox,Cleveland Guardians,2026-09-24T22:45:00+00:00,2026-09-24T22:43:19.434294+00:00,9,9,d0e9c7cf726e88320154be5ef2ccf0a1,mybookieag,MyBookie.ag,2026-09-24T22:41:12Z,betonlineag,BetOnline.ag,2026-09-24T22:42:38Z,betrivers,BetRivers,2026-09-24T22:42:39Z,0.0050880752043384,0.0167898479285314,best_available_across_quoted_books,all_quoted_books,-122,114,0.5378288134212884
2026-09-24,823493,NYY,TB,New York Yankees,Tampa Bay Rays,2026-09-24T23:05:00+00:00,2026-09-24T23:00:00.000683+00:00,9,9,db3b790ee721c10b3644dbeef61f370c,bovada,Bovada,2026-09-24T22:59:55Z,betus,BetUS,2026-09-24T22:59:49Z,betrivers,BetRivers,2026-09-24T22:59:49Z,0.0036378705006592,0.0129002404311825,best_available_across_quoted_books,all_quoted_books,-138,128,0.5702927924009673
2026-09-24,824866,ATL,CIN,Atlanta Braves,Cincinnati Reds,2026-09-24T23:15:00+00:00,2026-09-24T23:10:00.000153+00:00,9,9,78fdc82ac76963c18badf5271be59870,betus,BetUS,2026-09-24T23:09:43Z,fanduel,FanDuel,2026-09-24T23:09:27Z,betonlineag,BetOnline.ag,2026-09-24T23:09:26Z,0.0059548478278986,0.0192515758773167,best_available_across_quoted_books,all_quoted_books,-220,203,0.6705524581855044
2026-09-24,824950,OAK,HOU,Athletics,Houston Astros,2026-09-25T01:40:00+00:00,2026-09-25T01:35:00.000760+00:00,9,9,d1094cf64d0cccf98c76920fd2548c38,fanduel,FanDuel,2026-09-25T01:34:56Z,bovada,Bovada,2026-09-25T01:34:43Z,betrivers,BetRivers,2026-09-25T01:34:21Z,0.0067830957999422,0.0265368596795032,best_available_across_quoted_books,all_quoted_books,155,-167,0.3845089903181189
2026-09-24,823087,SEA,LAA,Seattle Mariners,Los Angeles Angels,2026-09-25T01:40:00+00:00,2026-09-25T01:35:00.000760+00:00,9,9,4984d3511b9db396e1a2c120b9623bbb,mybookieag,MyBookie.ag,2026-09-25T01:34:03Z,betonlineag,BetOnline.ag,2026-09-25T01:34:22Z,betrivers,BetRivers,2026-09-25T01:34:21Z,0.0057427095182534,0.0215472084664295,best_available_across_quoted_books,all_quoted_books,-186,175,0.635712521610274
2026-09-24,823895,LAD,SD,Los Angeles Dodgers,San Diego Padres,2026-09-25T02:10:00+00:00,2026-09-25T02:05:00.000479+00:00,9,9,a44be11545d471429fd459d4c5740006,betonlineag,BetOnline.ag,2026-09-25T02:04:11Z,betus,BetUS,2026-09-25T02:04:44Z,betonlineag,BetOnline.ag,2026-09-25T02:04:11Z,0.0024101352914809053,0.007287034388444691,best_available_across_quoted_books,all_quoted_books,-163,149,0.6079011615003329
