date,home_team,away_team,side,bet_size,odds,no_vig_prob,result,pnl,closing_no_vig_prob,clv,status,game_pk,decision_id,model_home_prob,edge,decision_timestamp
2026-07-01,BAL,CWS,AWAY,536.85,118.5,0.4360788501757665,loss,-536.85,,,settled,824818,2026-07-01_824818_AWAY,0.4304161210533973,,2026-07-01T00:00:00
2026-07-01,BOS,WSH,AWAY,192.57,124.0,0.4286110918303603,win,238.79,,,settled,824740,2026-07-01_824740_AWAY,0.510243629571176,,2026-07-01T00:00:00
2026-07-02,COL,MIA,AWAY,276.22,-120.0,0.5327102803738317,loss,-276.22,,,settled,824335,2026-07-02_824335_AWAY,0.4043237960435413,-0.0629659235826269,2026-07-02T00:00:00
2026-07-02,SEA,LAA,AWAY,397.65,170.0,0.3534777651083238,loss,-397.65,,,settled,823119,2026-07-02_823119_AWAY,0.5294809083294383,-0.1170413265622378,2026-07-02T00:00:00
2026-07-03,CLE,CWS,AWAY,320.23,122.0,0.4394987843650645,loss,-320.23,,,settled,824417,2026-07-03_824417_AWAY,0.5254651241930897,-0.0350360914418458,2026-07-03T00:00:00
2026-07-03,HOU,TB,AWAY,220.08,-108.0,0.5,win,203.78,,,settled,824173,2026-07-03_824173_AWAY,0.4877338824486475,-0.0122661175513524,2026-07-03T00:00:00
2026-07-03,LAA,BOS,AWAY,252.96,-105.0,0.4891657638136512,win,240.91,,,settled,824013,2026-07-03_824013_AWAY,0.4206023454157782,-0.0902318907705705,2026-07-03T00:00:00
2026-07-03,NYY,MIN,AWAY,342.74,155.0,0.3744351194318915,loss,-342.74,,,settled,823527,2026-07-03_823527_AWAY,0.5520629527479712,-0.0740376382543204,2026-07-03T00:00:00
2026-07-03,OAK,MIA,AWAY,454.55,111.0,0.4630595302657377,win,504.55,,,settled,824982,2026-07-03_824982_AWAY,0.4284562211981567,-0.1084842485361055,2026-07-03T00:00:00
2026-07-10,BAL,KC,AWAY,207.01,125.0,0.4223602484472049,loss,-207.01,,,settled,824817,2026-07-10_824817_AWAY,0.5095526463777299,-0.0680871051750652,2026-07-10T00:00:00
2026-07-10,MIA,CLE,HOME,403.75,-120.0,0.5205006473888649,loss,-403.75,,,settled,823845,2026-07-10_823845_HOME,0.6188645287958114,0.0983638814069465,2026-07-10T00:00:00
2026-07-10,NYM,BOS,AWAY,509.68,117.0,0.450806706738374,win,596.33,,,settled,823604,2026-07-10_823604_AWAY,0.4292497548218372,-0.1199435384397888,2026-07-10T00:00:00
2026-07-10,PIT,MIL,AWAY,509.65,112.0,0.4532666458268208,loss,-509.65,,,settled,823357,2026-07-10_823357_AWAY,0.4206023454157782,-0.1261310087574009,2026-07-10T00:00:00
2026-07-12,CWS,OAK,HOME,331.78,-112.0,0.5162468054034319,win,296.23,0.5823742190069057,0.0661274136034737,settled,824574,2026-07-12_824574_HOME,0.5956136560069143,0.0515897677008857,2026-07-12T00:00:00
2026-07-27,CIN,CLE,AWAY,224.99,140.0,0.4009077155824508,win,314.99,0.4038949247002098,0.002987209117759,settled,824490,2026-07-27_824490_AWAY,0.5286272174639468,-0.0704650669536023,2026-07-27T00:00:00
2026-07-27,LAA,HOU,AWAY,331.72,-109.0,0.5022258825624359,win,304.33,0.5046466242274987,0.0024207416650627,settled,824001,2026-07-27_824001_AWAY,0.4123108294617837,-0.0854632879757803,2026-07-27T00:00:00
2026-07-27,STL,CHC,AWAY,252.58,-117.0,0.5262215623771889,win,215.88,0.5285423037716617,0.0023207413944728,settled,823025,2026-07-27_823025_AWAY,0.4123108294617837,-0.0614676081610275,2026-07-27T00:00:00
2026-08-01,BAL,PHI,HOME,205.76,122.0,0.4335724226528209,loss,-205.76,0.4208224261903972,-0.0127499964624236,settled,824808,2026-08-01_824808_HOME,0.4951612903225806,0.0615888676697596,2026-08-01T00:00:00
2026-08-01,CLE,ARI,AWAY,583.6,148.0,0.3854625550660793,win,863.73,0.3812709030100335,-0.0041916520560457,settled,824405,2026-08-01_824405_AWAY,0.4590653919694072,-0.1554720529645134,2026-08-01T00:00:00
2026-08-01,COL,KC,AWAY,332.97,104.0,0.4782028469750889,loss,-332.97,0.4621711865787116,-0.0160316603963773,settled,824326,2026-08-01_824326_AWAY,0.4426847141190198,-0.0791124389058912,2026-08-01T00:00:00
2026-08-01,NYM,MIA,AWAY,242.91,113.0,0.448942322325369,win,274.49,0.448942322325369,0.0,settled,823594,2026-08-01_823594_AWAY,0.4795612903225806,-0.0714963873520503,2026-08-01T00:00:00
2026-08-01,SD,SF,AWAY,274.94,125.0,0.4223602484472049,loss,-274.94,0.4189920442401317,-0.0033682042070731,settled,823269,2026-08-01_823269_AWAY,0.4951612903225806,-0.0824784612302145,2026-08-01T00:00:00
2026-08-01,SEA,MIN,AWAY,230.4,145.0,0.3970710349513097,loss,-230.4,0.3959656331714607,-0.0011054017798489,settled,823109,2026-08-01_823109_AWAY,0.5379213483146066,-0.0650076167340837,2026-08-01T00:00:00
2026-08-01,TB,CWS,AWAY,319.11,148.0,0.3919783898056257,loss,-319.11,0.3906020558002937,-0.0013763340053319,settled,822944,2026-08-01_822944_AWAY,0.5214749201771552,-0.086546690017219,2026-08-01T00:00:00
2026-08-02,ATL,WSH,HOME,261.55,-125.0,0.5324675324675325,win,209.24,0.5460453954604539,0.0135778629929214,settled,824891,2026-08-02_824891_HOME,0.6025641025641025,0.07009657009657,2026-08-02T00:00:00
2026-08-02,CLE,ARI,AWAY,556.69,145.0,0.3907637655417406,loss,-556.69,0.3738994089977083,-0.0168643565440322,settled,824404,2026-08-02_824404_AWAY,0.4586021681822398,-0.1506340662760195,2026-08-02T00:00:00
2026-08-02,LAA,MIL,HOME,266.59,193.0,0.3264628044893465,win,514.52,0.333350970950844,0.0068881664614974,settled,823996,2026-08-02_823996_HOME,0.4123108294617837,0.0858480249724372,2026-08-02T00:00:00
2026-08-02,OAK,DET,AWAY,321.25,-108.0,0.5094339622641508,win,297.45,0.5367573011077542,0.0273233388436033,settled,824971,2026-08-02_824971_AWAY,0.4183118296284781,-0.0722542081073709,2026-08-02T00:00:00
2026-08-06,ARI,SD,HOME,292.48,-104.0,0.5,loss,-292.48,0.5,0.0,settled,825053,2026-08-06_825053_HOME,0.5651819868954285,0.0651819868954285,2026-08-06T00:00:00
2026-08-06,CHC,TOR,HOME,385.01,104.0,0.4812931347620777,win,400.41,0.5,0.0187068652379223,settled,824664,2026-08-06_824664_HOME,0.6025641025641025,,2026-08-06T00:00:00
2026-08-06,KC,MIN,AWAY,320.0,110.0,0.4661016949152543,win,352.0,0.4658682379969793,-0.000233456918275,settled,824080,2026-08-06_824080_AWAY,0.4943040306834508,-0.0537454460054169,2026-08-06T00:00:00
2026-08-06,MIL,PIT,HOME,376.07,-126.0,0.5463304962261121,win,298.47,0.5327102803738317,-0.0136202158522803,settled,823754,2026-08-06_823754_HOME,0.6217948717948718,,2026-08-06T00:00:00
2026-08-06,PHI,WSH,AWAY,420.2,288.0,0.2536267398549303,loss,-420.2,0.2617633914320373,0.008136651577107,settled,823430,2026-08-06_823430_AWAY,0.6025641025641025,-0.3191110892517543,2026-08-06T00:00:00
2026-08-06,SEA,DET,AWAY,357.91,114.0,0.4559761116939714,win,408.02,0.4782028469750889,0.0222267352811175,settled,823105,2026-08-06_823105_AWAY,0.4590653919694072,,2026-08-06T00:00:00
2026-08-07,ARI,LAD,HOME,581.08,156.0,0.3839101535640614,win,906.48,0.3753559409785141,-0.0085542125855472,settled,825051,2026-08-07_825051_HOME,0.5163224526457012,0.1324122990816397,2026-08-07T17:33:31
2026-08-07,BOS,OAK,AWAY,419.42,230.0,0.2895322939866369,loss,-419.42,0.2893890675241157,-0.0001432264625211,settled,824727,2026-08-07_824727_AWAY,0.593199327636924,-0.1172683783764391,2026-08-07T17:33:31
2026-08-07,CWS,CLE,HOME,368.74,122.0,0.4321749867701534,loss,-368.74,0.4277432126696832,-0.0044317741004702,settled,824566,2026-08-07_824566_HOME,0.5223848632691998,0.0902098764990463,2026-08-07T17:33:31
2026-08-07,PHI,TOR,AWAY,341.75,184.0,0.3437781785392245,win,628.82,0.3437781785392245,5.551115123125783e-17,settled,823428,2026-08-07_823428_AWAY,0.5692878472536422,-0.0869339742071332,2026-08-07T17:33:31
2026-08-07,STL,COL,AWAY,330.58,145.0,0.3907637655417406,loss,-330.58,0.3907637655417406,5.551115123125783e-17,settled,823024,2026-08-07_823024_AWAY,0.5223848632691998,-0.0868513711890596,2026-08-07T17:33:31
2026-08-07,WSH,CIN,AWAY,291.11,109.0,0.4672897196261683,loss,-291.11,0.4658682379969793,-0.0014214816291889,settled,822699,2026-08-07_822699_AWAY,0.4676356733417702,-0.0650746070320614,2026-08-07T17:33:31
2026-08-07,MIA,LAA,HOME,549.47,108.0,0.4643019572070491,loss,-549.47,0.5816746508332771,0.1173726936262279,settled,823836,2026-08-07_823836_HOME,0.5853961371698857,0.1210941799628365,2026-08-07T18:40:15
2026-08-07,PIT,NYM,HOME,430.41,140.0,0.3897823012198222,loss,-430.41,0.5514636449480642,0.161681343728242,settled,823349,2026-08-07_823349_HOME,0.5087407378530475,0.1189584366332252,2026-08-07T18:40:15
2026-08-07,MIL,MIN,AWAY,568.06,265.0,0.2526017166363639,win,1505.36,0.3822098679638638,0.1296081513274999,settled,823750,2026-08-07_823750_AWAY,0.5747802887633395,-0.1726179946002966,2026-08-07T19:15:13
2026-08-08,ARI,LAD,HOME,405.91,167.0,0.3582033275203846,loss,-405.91,0.3536136407672932,-0.0045896867530914,settled,825049,2026-08-08_825049_HOME,0.4676356733417702,0.1094323458213856,2026-08-08T14:27:51
2026-08-08,BOS,OAK,AWAY,347.44,230.0,0.2934179222839017,win,799.11,0.2872670807453416,-0.0061508415385601,settled,824726,2026-08-08_824726_AWAY,0.6081658958222761,-0.0984161818938221,2026-08-08T14:27:51
2026-08-08,CWS,CLE,HOME,427.48,122.0,0.4394987843650644,win,521.53,0.4568527918781725,0.0173540075131081,settled,824565,2026-08-08_824565_HOME,0.5366016282987086,0.0971028439336441,2026-08-08T14:27:51
2026-08-08,MIA,LAA,AWAY,270.17,138.0,0.4131680661068905,loss,-270.17,0.4148541292262214,0.0016860631193309,settled,823834,2026-08-08_823834_AWAY,0.5223848632691998,-0.0644470706239097,2026-08-08T14:27:51
2026-08-08,PHI,TOR,AWAY,380.3,150.0,0.3906020558002937,win,570.45,0.3868927932550303,-0.0037092625452633,settled,823426,2026-08-08_823426_AWAY,0.5163224526457012,-0.093075491554005,2026-08-08T14:27:51
2026-08-08,PIT,NYM,AWAY,502.36,110.0,0.465165228372974,loss,-502.36,0.4782608695652174,0.0130956411922433,settled,823348,2026-08-08_823348_AWAY,0.427309978268269,-0.1075247933587569,2026-08-08T14:27:51
2026-08-08,SEA,TB,AWAY,266.52,-102.0,0.4826358742837299,win,261.29,0.4357962697274031,-0.0468396045563267,settled,823102,2026-08-08_823102_AWAY,0.4466646634615384,-0.0706994622547316,2026-08-08T14:27:51
2026-08-08,NYY,ATL,AWAY,839.69,170.0,0.3542837046644069,loss,-839.69,,,settled,823514,2026-08-08_823514_AWAY,0.4466646634615384,-0.1990516318740546,2026-08-08T15:05:14
2026-08-08,MIL,MIN,HOME,644.72,140.0,0.3968590103798656,win,902.61,0.5660893345487694,0.1692303241689038,settled,823752,2026-08-08_823752_HOME,0.5468179744525548,0.1499589640726891,2026-08-08T18:50:13
2026-08-08,SD,HOU,AWAY,463.98,125.0,0.4149406880583912,loss,-463.98,0.4715960714749275,0.0566553834165363,settled,823267,2026-08-08_823267_AWAY,0.4663502432717498,-0.1187090686698589,2026-08-08T18:50:13
2026-08-08,STL,COL,AWAY,729.25,250.0,0.2786548346522199,win,1823.12,0.4066985645933014,0.1280437299410815,settled,823021,2026-08-08_823021_AWAY,0.5340200658922436,-0.1873250994555364,2026-08-08T18:50:13
2026-08-08,TEX,BAL,AWAY,203.46,135.0,0.4055939691189021,loss,-203.46,0.4248994579471936,0.0193054888282915,settled,822864,2026-08-08_822864_AWAY,0.5340200658922436,-0.0603859649888542,2026-08-08T18:50:13
2026-08-10,LAA,TEX,AWAY,240.86,-115.0,0.5108342361863489,win,209.44,0.5094339622641508,-0.0014002739221981,settled,823998,2026-08-10_823998_AWAY,0.4263476550494806,-0.0628181087641705,2026-08-10T17:26:46
2026-08-10,LAD,KC,AWAY,407.2,240.0,0.2856711003627569,loss,-407.2,0.2872670807453416,0.0015959803825846,settled,823918,2026-08-10_823918_AWAY,0.6064108779971791,-0.107918021640064,2026-08-10T17:26:46
2026-08-10,MIN,BAL,AWAY,510.18,132.0,0.4099362535701311,loss,-510.18,0.5,0.0900637464298689,settled,823675,2026-08-10_823675_AWAY,0.4845285166546849,-0.105535229775184,2026-08-10T19:10:12
2026-08-11,CWS,CIN,AWAY,349.96,139.0,0.4083207407645565,win,486.44,0.4126277181032224,0.0043069773386659,settled,824563,2026-08-11_824563_AWAY,0.5223848632691998,-0.0692943959662437,2026-08-11T17:34:07
2026-08-11,LAD,KC,AWAY,317.27,235.0,0.2924451665312755,loss,-317.27,0.288637194008038,-0.0038079725232375,settled,823917,2026-08-11_823917_AWAY,0.636751363071806,-0.0708034703969184,2026-08-11T17:34:07
